,Number_of_Rules,LHS_peek_obj_type,LHS_isEmpty,LHS_size,LHS_push,LHS_pop,LHS_clear,RHS_peek_obj_type,RHS_isEmpty,RHS_size,RHS_push,RHS_pop,RHS_clear,lhs_rhs-peek_obj_type,lhs_rhs-isEmpty,lhs_rhs-size,lhs_rhs-push,lhs_rhs-pop,lhs_rhs-clear
0,29,1000,1000,1000,1000,19,1000,20,20,12,20,20,20,50.0,50.0,83.33333333333333,50.0,0.95,50.0
1,12,1000,1000,1000,3,1000,1000,20,20,6,20,20,20,50.0,50.0,166.66666666666666,0.15,50.0,50.0
2,23,1000,1000,1000,1000,16,1000,20,20,12,20,20,20,50.0,50.0,83.33333333333333,50.0,0.8,50.0
3,9,1000,1000,1000,3,1000,1000,20,20,6,20,20,20,50.0,50.0,166.66666666666666,0.15,50.0,50.0
