,Unnamed: 0,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
25,144,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607893902382:97b1315a-eb0c-4804-a1a0-eb5581a86fdb,1607893902382:959c01a7-7af3-4b39-abff-97dc02c8fcfd,79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']",6,"['115', '361', '362', '363', '364', '455']",79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']"
26,169,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""",Yes,1607893902382:25e51f84-a8b3-4d7f-94ec-172a74d336fc,1607893902382:9a1b6f06-d6be-454e-9af0-b08ddb9f2137,0,,1,['367'],0,
27,178,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607893902382:25e51f84-a8b3-4d7f-94ec-172a74d336fc,1607893902382:2d26fa9c-651d-4945-b8ba-1751572ed3f5,79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']",6,"['115', '361', '362', '363', '364', '455']",79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']"
28,188,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607893902382:25e51f84-a8b3-4d7f-94ec-172a74d336fc,1607893902382:1af689f8-1ff4-430d-8448-3598d22ce922,0,,1,['367'],0,
29,189,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607893902382:25e51f84-a8b3-4d7f-94ec-172a74d336fc,1607893902382:1af689f8-1ff4-430d-8448-3598d22ce922,0,,3,"['367', '384', '385']",0,
30,220,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902382:60045b5c-f97f-4287-8f99-c38f91662bf4,79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']",6,"['115', '361', '362', '363', '364', '455']",79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']"
31,252,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77,0,,87,"['0', '1', '8', '53', '60', '61', '62', '68', '69', '70', '71', '72', '73', '74', '75', '76', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '116', '117', '127', '128', '129', '130', '131', '132', '133', '135', '167', '180', '181', '182', '184', '185', '186', '187', '212', '236', '237', '238', '241', '242', '269', '273', '274', '275', '332', '367', '384', '385', '394', '395', '396', '397', '398', '399', '400', '407', '414', '415', '419', '420', '421', '427', '428', '429', '430', '431', '435', '436', '437', '438', '439', '440', '441', '442', '453', '465']",0,
32,253,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77,0,,3,"['367', '384', '385']",0,
33,254,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77,0,,1,['367'],0,
34,255,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77,0,,3,"['367', '384', '385']",0,
