,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
5043,1607950820511:9576f05b-d125-4326-be39-8a1b67571d5c,1607950820511:1e7ac753-0717-47ba-8b36-db796bfd5d37,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,No
5044,1607950820511:9576f05b-d125-4326-be39-8a1b67571d5c,1607950820511:1e7ac753-0717-47ba-8b36-db796bfd5d37,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,No
5046,1607950820511:72500b46-4b8c-4671-b708-d45810fc109f,1607950820511:9dbbefe3-e91c-48dc-9494-4b42b714ef39,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5048,1607950820511:72500b46-4b8c-4671-b708-d45810fc109f,1607950820511:9b4aa856-70a9-41ef-a3de-3efe49a06c84,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5049,1607950820511:72500b46-4b8c-4671-b708-d45810fc109f,1607950820511:9b4aa856-70a9-41ef-a3de-3efe49a06c84,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5051,1607950820511:152906c8-eee1-4ba7-a6e2-22d68a6d6c74,1607950820511:a1bdf4b9-c818-4983-a2f6-8836f3b4c06c,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5052,1607950820511:152906c8-eee1-4ba7-a6e2-22d68a6d6c74,1607950820511:a1bdf4b9-c818-4983-a2f6-8836f3b4c06c,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5055,1607950820511:152906c8-eee1-4ba7-a6e2-22d68a6d6c74,1607950820511:106e49ad-1520-428f-be76-71494f661611,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5057,1607950820510:a669e43c-d398-4746-89de-2cf23a844015,1607950820510:130a904e-8b7d-4700-b801-fc563b38d401,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5058,1607950820510:a669e43c-d398-4746-89de-2cf23a844015,1607950820510:130a904e-8b7d-4700-b801-fc563b38d401,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5060,1607950820510:76df14d4-ec62-4e60-bb5d-ee6a28b881a2,1607950820510:efca3e6d-d0c2-4179-9e6b-64fd2f936055,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,FALSE,clear,No
5061,1607950820510:76df14d4-ec62-4e60-bb5d-ee6a28b881a2,1607950820510:efca3e6d-d0c2-4179-9e6b-64fd2f936055,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,TRUE,push,Yes
5062,1607950820510:76df14d4-ec62-4e60-bb5d-ee6a28b881a2,1607950820510:efca3e6d-d0c2-4179-9e6b-64fd2f936055,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5064,1607950820510:75de742e-fa5a-4213-a9cf-6b52d1e63f35,1607950820510:894ea392-d93f-48c8-a092-78eff1b7a93c,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
