,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
28,1607899197707:8e61c4d8-5554-43b3-b2e6-501ff27f13ea,1607899197707:13ab1bf5-502f-4ac5-88bf-da068aa64280,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""1""",Yes
29,1607899197707:8e61c4d8-5554-43b3-b2e6-501ff27f13ea,1607899197707:13ab1bf5-502f-4ac5-88bf-da068aa64280,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""1""",Yes
30,1607899197707:8e61c4d8-5554-43b3-b2e6-501ff27f13ea,1607899197707:13ab1bf5-502f-4ac5-88bf-da068aa64280,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""1""",Yes
32,1607899197707:8a0e4af3-71f1-4689-95b1-7b692741b8a1,1607899197707:f59b3344-82ef-40a2-915e-3cf39c089e41,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
33,1607899197707:8a0e4af3-71f1-4689-95b1-7b692741b8a1,1607899197707:f59b3344-82ef-40a2-915e-3cf39c089e41,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
35,1607899197707:8a0e4af3-71f1-4689-95b1-7b692741b8a1,1607899197707:52db1f8c-ab54-49f8-9441-759f8e0a6e65,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
37,1607899197707:2b8bbe4c-f546-42e1-8cda-24d508e19480,1607899197707:5eb4acde-ac83-424b-bb04-246fed15111a,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
38,1607899197707:2b8bbe4c-f546-42e1-8cda-24d508e19480,1607899197707:5eb4acde-ac83-424b-bb04-246fed15111a,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
40,1607899197706:daf4cd9b-907d-4748-b830-207e08f451b6,1607899197706:807f89e6-ac95-41eb-865d-32b14ded638e,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
41,1607899197706:daf4cd9b-907d-4748-b830-207e08f451b6,1607899197706:807f89e6-ac95-41eb-865d-32b14ded638e,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
