,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
3,1604915587981:8f2f42ab-d9b1-4095-bdf8-48aa9c365a97,1604915587981:cae8794e-1124-4c21-ae5e-e287d6829d5d,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
9,1604915587980:cee59262-4b9c-4ed4-b0ef-d527aeb04ccc,1604915587980:833b0087-15fc-4d35-b0c7-57e5c36713eb,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
15,1604915587980:6cdfed8c-9bda-4fca-96c3-bf026cde943f,1604915587980:9363ac44-4b5c-4c5b-a806-e7e2e07f91d8,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
17,1604915587980:6a485760-d796-4cf0-8019-b9b36678693f,1604915587980:7697e733-f67b-45a4-8998-5048eafe381b,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
19,1604915587980:29734eaa-d948-4348-8e33-b77960b2069a,1604915587980:c881bc5b-5ba0-4aa5-bec2-70aecba5a4a8,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
30,1604915587975:5b273abb-0028-4762-9620-c4bf31d85668,1604915587975:76cbc9cd-ae6c-4587-af17-369c621cf188,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
35,1604915587975:271693f5-088b-487f-bfd7-38768c54c97b,1604915587975:620fa81d-dbd6-49fe-9a9b-30a4dbb557de,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
38,1604915587974:a585a94b-6030-4ae0-b77c-6c3eedd06368,1604915587974:cc71d9ec-ba8a-4505-a197-964a14d2d0ae,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
40,1604915587974:970825a0-6642-447d-bd6a-d498f0cf5c58,1604915587974:24cb1408-9e14-4ce7-a865-02430b5dc33c,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
44,1604915587974:55d3ad82-6346-4e9c-8c5b-07fae96516fc,1604915587974:de2d2a11-1dcf-43e9-89b7-f301f467336a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
57,1604915587973:6269ccc9-d066-428a-bb3e-06fbcd7039b4,1604915587973:a9676510-4a3c-40b6-adac-9e5d6afd2143,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
71,1604915587972:7074dfc1-9f49-4ab6-b7cb-ad4f203b8c54,1604915587972:4374659a-2229-4fc7-9aeb-73c2827d15fe,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
73,1604915587972:44b46c13-f8bd-4cd9-9a55-4affd29a9499,1604915587972:04af8c89-d5cf-459b-9f5a-efbcaf65d99d,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
76,1604915587972:4290f7f8-c01a-48d2-bb90-ce544a56c949,1604915587972:69672646-bdf9-4145-b8e4-c8038ff87d5a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
80,1604915587971:d65ed6f5-1d15-43d2-a589-5abbb1d96378,1604915587971:93d71bd3-96bd-493a-b230-c4739e4e32d8,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
83,1604915587971:c9760fca-5578-4159-a411-0b32dca0c07d,1604915587971:abee85df-c2aa-4083-a1f2-8ada2debdd49,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
94,1604915587970:e8f7a854-fbca-4b64-844e-ae637a9a3d38,1604915587970:c2d89036-18c5-4387-b898-2f384aedee32,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
98,1604915587970:cbb10b5e-b5e5-459f-863a-acddbb10cfc8,1604915587970:462da911-870b-4bab-972b-6831e91e151e,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
115,1604915587969:54247f2c-abec-429f-9e21-a193170cf6f1,1604915587969:6cc3adfe-dc2d-4207-8d51-cada601ec81c,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
119,1604915587968:d53c54d1-a584-447d-837b-0f2f3f961a20,1604915587968:f1a47267-0c4d-4235-8f5e-4521ba75393a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
121,1604915587968:c1f61869-c999-4100-b116-878d0466da43,1604915587968:cd8af013-9831-41f5-850d-42b1a64ec936,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
125,1604915587968:142df16d-8f3b-40bb-aac0-123331c40d5a,1604915587968:6aa9dea2-31bd-414c-9f80-7d1ee0564f63,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
127,1604915587968:117a93af-0c21-4695-8a74-897bb7c0b558,1604915587968:67a15a37-55ea-454c-92e4-541f8dbe4f64,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
129,1604915587968:005d15ef-dc01-405c-912c-791d9e5ae86a,1604915587968:1a5697a4-e8a3-497f-ae19-8623b190ea0d,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
133,1604915587967:b235475b-fb8b-4282-9466-214ee077604d,1604915587967:62c2a083-92bb-410f-b07e-835022f9c668,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
136,1604915587967:7e8a3df6-7419-457b-84b8-c89d1ba33ca2,1604915587967:172d40e4-61a4-4534-936d-3708c3ad31cd,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
138,1604915587967:69a5bb02-de36-469c-9f64-1bfc4f55bb60,1604915587967:3701703a-5593-4042-a133-f1a9f68122f3,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
140,1604915587967:42e2fee6-b240-4edb-b61d-3d3ab6db6a6d,1604915587967:351de4de-52d4-42db-9ddc-8750153cdaad,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
148,1604915587966:af056338-c6cf-4a72-ab7a-81007f501c5f,1604915587966:8eb6dfcf-e6a1-4fa1-80dc-6edc03ff0924,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
150,1604915587966:a31bf52d-02fa-4dda-a8a0-296fb8ae5375,1604915587966:e0a14241-0e05-4de1-b14f-2d2f770111aa,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
