,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
4249,1604913473707:98d3de58-4435-4936-bd92-125eb5a6f879,1604913473707:f6262970-e611-41c7-bbba-2b9617a9ea46,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4251,1604913473707:98d3de58-4435-4936-bd92-125eb5a6f879,1604913473707:9283a2f3-ee47-4c30-8af3-57d209f5c1ff,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4252,1604913473707:98d3de58-4435-4936-bd92-125eb5a6f879,1604913473707:9283a2f3-ee47-4c30-8af3-57d209f5c1ff,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4254,1604913473707:649782fd-0058-4f58-896f-1aa9c56a61b3,1604913473707:882eb888-a81a-44b3-b5e7-f3135d70e501,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4255,1604913473707:649782fd-0058-4f58-896f-1aa9c56a61b3,1604913473707:882eb888-a81a-44b3-b5e7-f3135d70e501,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4257,1604913473707:649782fd-0058-4f58-896f-1aa9c56a61b3,1604913473707:1b5678a9-d31b-4be7-964d-b8c32032c299,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4258,1604913473707:649782fd-0058-4f58-896f-1aa9c56a61b3,1604913473707:1b5678a9-d31b-4be7-964d-b8c32032c299,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4260,1604913473707:04d5943e-3b96-4cfc-a2ef-430eff08e038,1604913473707:e3a261f3-92a8-4022-afd8-e02ff8adafd3,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4261,1604913473707:04d5943e-3b96-4cfc-a2ef-430eff08e038,1604913473707:e3a261f3-92a8-4022-afd8-e02ff8adafd3,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4262,1604913473707:04d5943e-3b96-4cfc-a2ef-430eff08e038,1604913473707:e3a261f3-92a8-4022-afd8-e02ff8adafd3,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4264,1604913473707:04d5943e-3b96-4cfc-a2ef-430eff08e038,1604913473707:4260370b-b393-4223-9d62-2d781aa3700e,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
