,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
4141,1604913473712:834c0ce8-cb48-47ee-9478-dc4e910d806a,1604913473712:0a508a10-294e-4fd7-bed8-4820bf60c119,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4143,1604913473712:2831cc3b-790e-4fc4-aa0d-4b2efaa270fc,1604913473712:1e32caa0-52ed-4f31-89b8-681ab4e79c55,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4144,1604913473712:2831cc3b-790e-4fc4-aa0d-4b2efaa270fc,1604913473712:1e32caa0-52ed-4f31-89b8-681ab4e79c55,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4146,1604913473712:259cd96f-ebff-428c-a148-e7424dfafdb1,1604913473713:ef44b2d5-c2bf-4e4b-ae2a-d7499863e79a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4147,1604913473712:259cd96f-ebff-428c-a148-e7424dfafdb1,1604913473713:ef44b2d5-c2bf-4e4b-ae2a-d7499863e79a,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4148,1604913473712:259cd96f-ebff-428c-a148-e7424dfafdb1,1604913473713:ef44b2d5-c2bf-4e4b-ae2a-d7499863e79a,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4150,1604913473712:259cd96f-ebff-428c-a148-e7424dfafdb1,1604913473712:c5999826-3563-4d8d-ba21-9d5b374050e9,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4151,1604913473712:259cd96f-ebff-428c-a148-e7424dfafdb1,1604913473712:c5999826-3563-4d8d-ba21-9d5b374050e9,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4152,1604913473712:259cd96f-ebff-428c-a148-e7424dfafdb1,1604913473712:c5999826-3563-4d8d-ba21-9d5b374050e9,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4154,1604913473712:229dbe40-15e2-451a-b5a9-630f1b4a55ef,1604913473712:6aec744e-0b93-41a2-ac27-d78a1fa85b09,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4155,1604913473712:229dbe40-15e2-451a-b5a9-630f1b4a55ef,1604913473712:6aec744e-0b93-41a2-ac27-d78a1fa85b09,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4157,1604913473712:0c4cec1d-61ff-431e-9ed1-cda7573ee160,1604913473712:187bec24-dd09-4a1f-9601-d1c4badfae0b,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4158,1604913473712:0c4cec1d-61ff-431e-9ed1-cda7573ee160,1604913473712:187bec24-dd09-4a1f-9601-d1c4badfae0b,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4160,1604913473712:0a00e78a-5b4d-451a-b198-3e08d5336b12,1604913473712:92a83cf1-ff88-43d6-a820-c0d65b33dd68,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4161,1604913473712:0a00e78a-5b4d-451a-b198-3e08d5336b12,1604913473712:92a83cf1-ff88-43d6-a820-c0d65b33dd68,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4163,1604913473711:ec7a1dcd-8e47-4d05-9f46-f3d634dcdec1,1604913473711:3227dc69-b558-47d7-a397-8361ed65a488,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4164,1604913473711:ec7a1dcd-8e47-4d05-9f46-f3d634dcdec1,1604913473711:3227dc69-b558-47d7-a397-8361ed65a488,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4166,1604913473711:ec7a1dcd-8e47-4d05-9f46-f3d634dcdec1,1604913473711:107b9bb4-db58-4c86-8917-2c5c647d21bd,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4167,1604913473711:ec7a1dcd-8e47-4d05-9f46-f3d634dcdec1,1604913473711:107b9bb4-db58-4c86-8917-2c5c647d21bd,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4169,1604913473711:61657c89-90cf-446a-a84c-410df8f8bf3c,1604913473711:ea40e46b-2f66-4ec8-a254-4ed160ed601d,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4170,1604913473711:61657c89-90cf-446a-a84c-410df8f8bf3c,1604913473711:ea40e46b-2f66-4ec8-a254-4ed160ed601d,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4172,1604913473711:61657c89-90cf-446a-a84c-410df8f8bf3c,1604913473711:1d82cc4c-c738-4b4d-aa0e-13f3e045908f,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4173,1604913473711:61657c89-90cf-446a-a84c-410df8f8bf3c,1604913473711:1d82cc4c-c738-4b4d-aa0e-13f3e045908f,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4174,1604913473711:61657c89-90cf-446a-a84c-410df8f8bf3c,1604913473711:1d82cc4c-c738-4b4d-aa0e-13f3e045908f,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4175,1604913473711:61657c89-90cf-446a-a84c-410df8f8bf3c,1604913473711:1d82cc4c-c738-4b4d-aa0e-13f3e045908f,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4176,1604913473711:61657c89-90cf-446a-a84c-410df8f8bf3c,1604913473711:1d82cc4c-c738-4b4d-aa0e-13f3e045908f,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4178,1604913473711:51f3f830-8fd2-40cb-a191-c90556db7268,1604913473711:c021602e-dadc-47b7-ad50-dd0ba15b9910,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4179,1604913473711:51f3f830-8fd2-40cb-a191-c90556db7268,1604913473711:c021602e-dadc-47b7-ad50-dd0ba15b9910,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4180,1604913473711:51f3f830-8fd2-40cb-a191-c90556db7268,1604913473711:c021602e-dadc-47b7-ad50-dd0ba15b9910,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4182,1604913473711:51f3f830-8fd2-40cb-a191-c90556db7268,1604913473711:b7ee1c86-6cac-48c1-99ee-00e3856a60c5,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4183,1604913473711:51f3f830-8fd2-40cb-a191-c90556db7268,1604913473711:b7ee1c86-6cac-48c1-99ee-00e3856a60c5,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4185,1604913473710:f4229229-7c4b-4d09-820a-aa8c8b3dc173,1604913473710:8b61fbd8-d4d6-4722-97b6-c565d5176952,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4186,1604913473710:f4229229-7c4b-4d09-820a-aa8c8b3dc173,1604913473710:8b61fbd8-d4d6-4722-97b6-c565d5176952,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4188,1604913473710:d925e6d8-5881-4fe6-8060-b52cc626521b,1604913473710:1cb206dc-78c5-4d6c-a590-fa5517bc267c,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4189,1604913473710:d925e6d8-5881-4fe6-8060-b52cc626521b,1604913473710:1cb206dc-78c5-4d6c-a590-fa5517bc267c,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4191,1604913473710:d925e6d8-5881-4fe6-8060-b52cc626521b,1604913473710:097ebf55-ece2-4b41-b352-9fd684cb0210,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4192,1604913473710:d925e6d8-5881-4fe6-8060-b52cc626521b,1604913473710:097ebf55-ece2-4b41-b352-9fd684cb0210,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4193,1604913473710:d925e6d8-5881-4fe6-8060-b52cc626521b,1604913473710:097ebf55-ece2-4b41-b352-9fd684cb0210,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4194,1604913473710:d925e6d8-5881-4fe6-8060-b52cc626521b,1604913473710:097ebf55-ece2-4b41-b352-9fd684cb0210,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4195,1604913473710:d925e6d8-5881-4fe6-8060-b52cc626521b,1604913473710:097ebf55-ece2-4b41-b352-9fd684cb0210,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4197,1604913473710:564eb170-5dec-47c9-b23f-6c45391eec57,1604913473710:97f1396e-da73-47a1-9bc0-094f68da8f1a,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4198,1604913473710:564eb170-5dec-47c9-b23f-6c45391eec57,1604913473710:97f1396e-da73-47a1-9bc0-094f68da8f1a,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4200,1604913473710:28cd9b24-61dc-48cd-918f-04bd883d2cb7,1604913473710:caee4f7b-7ab9-49f4-9b87-3e16772fbf6c,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4201,1604913473710:28cd9b24-61dc-48cd-918f-04bd883d2cb7,1604913473710:caee4f7b-7ab9-49f4-9b87-3e16772fbf6c,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4203,1604913473710:05d8ca9c-babb-441c-b4a3-524948469e51,1604913473710:b8a00c0b-19fd-445d-8365-f1396b9ee4c9,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4204,1604913473710:05d8ca9c-babb-441c-b4a3-524948469e51,1604913473710:b8a00c0b-19fd-445d-8365-f1396b9ee4c9,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4206,1604913473709:ff88276d-2dfb-4766-9afa-a32c191b40c0,1604913473709:e05c9f23-de57-4616-9cdf-0fe1d32b96d5,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4207,1604913473709:ff88276d-2dfb-4766-9afa-a32c191b40c0,1604913473709:e05c9f23-de57-4616-9cdf-0fe1d32b96d5,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
