,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
1,1604913687777:f6fd8334-a74d-40a2-a04e-e2f11119da99,1604913687777:710fc98a-31c9-4234-91fa-306c76ac1afd,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No,0,True,EmptyObject,EmptyObject,CTOR,none
2,1604913687777:f6fd8334-a74d-40a2-a04e-e2f11119da99,1604913687777:710fc98a-31c9-4234-91fa-306c76ac1afd,1,False,1.0,class java.lang.Float,pop,none,Yes,1,False,1.0,class java.lang.Float,push,class java.lang.Float
4,1604913687777:e1098452-b431-4940-9b22-e0699e8ec573,1604913687777:8a0c1401-5fc7-4df5-9414-2de3a09e92c1,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No,0,True,EmptyObject,EmptyObject,CTOR,none
5,1604913687777:e1098452-b431-4940-9b22-e0699e8ec573,1604913687777:8a0c1401-5fc7-4df5-9414-2de3a09e92c1,2,False,0.0,class java.lang.Float,push,class java.lang.Float,No,1,False,1.0,class java.lang.Float,push,class java.lang.Float
7,1604913687777:e1098452-b431-4940-9b22-e0699e8ec573,1604913687777:03122257-5a60-49f0-9e18-d5fb18d9aa1e,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No,0,True,EmptyObject,EmptyObject,CTOR,none
8,1604913687777:e1098452-b431-4940-9b22-e0699e8ec573,1604913687777:03122257-5a60-49f0-9e18-d5fb18d9aa1e,1,False,1.0,class java.lang.Float,pop,none,Yes,1,False,1.0,class java.lang.Float,push,class java.lang.Float
10,1604913687777:df776b73-38a8-4636-884f-54c0e35e8ee0,1604913687777:ce977877-c59d-4418-95a7-4526e0524a3e,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No,0,True,EmptyObject,EmptyObject,CTOR,none
11,1604913687777:df776b73-38a8-4636-884f-54c0e35e8ee0,1604913687777:ce977877-c59d-4418-95a7-4526e0524a3e,1,False,1.0,class java.lang.Float,pop,none,Yes,1,False,1.0,class java.lang.Float,push,class java.lang.Float
13,1604913687777:df776b73-38a8-4636-884f-54c0e35e8ee0,1604913687777:83fa4013-0eff-4b0f-9a7a-1839ca8b6c88,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No,0,True,EmptyObject,EmptyObject,CTOR,none
15,1604913687777:64185572-6dcf-4b0f-a33c-4343837fd625,1604913687777:d3733392-dc33-470b-a56a-49ae57d830aa,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No,0,True,EmptyObject,EmptyObject,CTOR,none
16,1604913687777:64185572-6dcf-4b0f-a33c-4343837fd625,1604913687777:d3733392-dc33-470b-a56a-49ae57d830aa,1,False,1.0,class java.lang.Float,pop,none,Yes,1,False,1.0,class java.lang.Float,push,class java.lang.Float
18,1604913687777:63d158ba-c175-47f5-8f0e-cf3fc16ca935,1604913687777:14842d7d-693c-4694-9afe-d3e7c0f93731,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No,0,True,EmptyObject,EmptyObject,CTOR,none
19,1604913687777:63d158ba-c175-47f5-8f0e-cf3fc16ca935,1604913687777:14842d7d-693c-4694-9afe-d3e7c0f93731,1,False,1.0,class java.lang.Float,pop,none,Yes,1,False,1.0,class java.lang.Float,push,class java.lang.Float
21,1604913687777:2d5eb5bb-91ff-4711-962a-1cc08b244830,1604913687777:c60c11d6-b1ff-44ea-914a-ffbc3aaae2b7,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No,0,True,EmptyObject,EmptyObject,CTOR,none
