,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
6230,1604915698160:fd286841-fbca-4664-a34e-95f0d45720f4,1604915698160:bba0be07-094f-46d2-9574-d406ad8c8266,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6232,1604915698160:fb3cc2c8-3a33-4bf9-bc29-d2f0c275ba50,1604915698160:d24d630c-732d-4c27-bfd3-d14bacfe40f6,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6233,1604915698160:fb3cc2c8-3a33-4bf9-bc29-d2f0c275ba50,1604915698160:d24d630c-732d-4c27-bfd3-d14bacfe40f6,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6236,1604915698160:fb3cc2c8-3a33-4bf9-bc29-d2f0c275ba50,1604915698160:3cdef1d4-3984-433f-9e59-15587c42b63d,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6238,1604915698160:f4270bff-6c2a-4e2b-b72e-7d1ea0bfc6d4,1604915698160:190a3679-1b87-4615-82cc-92d47fe32869,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6239,1604915698160:f4270bff-6c2a-4e2b-b72e-7d1ea0bfc6d4,1604915698160:190a3679-1b87-4615-82cc-92d47fe32869,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6240,1604915698160:f4270bff-6c2a-4e2b-b72e-7d1ea0bfc6d4,1604915698160:190a3679-1b87-4615-82cc-92d47fe32869,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6243,1604915698160:f2c95ea7-9ca6-4f66-99d8-5e45b7f1224b,1604915698160:417496bb-0378-4ffd-b10e-807c80dafb3b,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6245,1604915698160:f2c95ea7-9ca6-4f66-99d8-5e45b7f1224b,1604915698160:0aecc4cb-f2b2-40ce-b57a-18495beb48d3,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6246,1604915698160:f2c95ea7-9ca6-4f66-99d8-5e45b7f1224b,1604915698160:0aecc4cb-f2b2-40ce-b57a-18495beb48d3,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
