,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
3,1604914632859:1fda15e4-5079-4332-b5d3-b7137ab6be18,1604914632859:f2c33e25-776c-41fa-aa5f-a6fc0ac82824,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
9,1604914632858:6b638b7c-897f-4320-ad55-e6c48d1e90be,1604914632858:993ac97b-35d3-407a-9b66-82c93d11b139,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
11,1604914632858:5eff59e2-d9b3-487a-9e01-950635db7e8f,1604914632858:d5192df3-b068-4f70-8549-5faad59d9896,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
18,1604914632857:820ce040-3b9e-46bc-a44f-051ecab2cacf,1604914632857:662d7dc0-5fa5-4d06-bb24-61252e5ab7f7,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
20,1604914632857:512b9116-4f88-4a53-893b-a678ec069d06,1604914632857:7685b1a6-24c9-44a7-8e86-b3903fdf75b7,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
31,1604914632853:67781c69-7a4a-420c-9af4-fb34c72ebd3a,1604914632853:10f6324b-bac7-4dc8-87bf-483057bc2ff5,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
33,1604914632853:394296e8-6dfe-4aef-9d01-77b79d007729,1604914632853:62cc5bac-108b-4fdd-bdcf-92760203ece8,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
39,1604914632852:667b0d00-4a74-4e1c-ac37-412b3b94f149,1604914632852:20f6d6d8-8e2b-4ac9-b668-2a126ca3b133,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
44,1604914632852:4744bacf-9af6-4b99-b09a-a00ab44dd170,1604914632852:e62c82a3-32e9-46ea-bf51-09403c980741,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
50,1604914632851:428af679-7f2e-4f62-a798-cafbebbb79aa,1604914632851:0bc319f4-da49-4e11-b688-7a6a472bcfdc,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
55,1604914632850:0e2141f8-05f7-40d5-b395-6fa2e48cb0bc,1604914632850:1e94aaeb-fd83-4e0a-bb62-f58339fb31ba,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
62,1604914632844:8f516070-6af4-4137-ba22-14c825b8ed5d,1604914632844:392122aa-efa7-49ca-8f35-0e6977c38350,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
70,1604914632843:ab31d51f-57ad-4322-b32f-b5456942d14a,1604914632843:01e80eb1-d188-486c-ba16-8243779cffcf,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
74,1604914632843:74303c34-2c6b-4177-91bd-6b011e1d6922,1604914632843:eb5396c0-7789-48cb-8f2e-e751ab4d210a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
86,1604914632841:bff79f80-b219-4c2c-ab8e-d884062e1524,1604914632841:cdd021d4-591f-417c-b7f0-f0135e64d71d,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
89,1604914632841:b211c9ce-6eee-4cc0-8c64-dbe8d550562e,1604914632841:f4e50fb3-7fa3-40ca-8267-08007fa92b3d,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
97,1604914632840:6d99dc10-1c68-40b7-9f7e-eb72978c4cbe,1604914632840:5c65c460-27ae-4a16-a8a8-58e9ad2fa552,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
