,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
1,1607885767774:699d1324-8931-41cf-8607-bed211eee22e,1607885767774:22fe3a79-08bb-4172-9b62-ab49446c0523,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
2,1607885767774:699d1324-8931-41cf-8607-bed211eee22e,1607885767774:22fe3a79-08bb-4172-9b62-ab49446c0523,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""",No
4,1607885767774:3a86df77-2d0c-47fc-9915-88f0b78a2483,1607885767774:c984392f-fa49-424c-82cb-f7db9e1a7d91,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
5,1607885767774:3a86df77-2d0c-47fc-9915-88f0b78a2483,1607885767774:c984392f-fa49-424c-82cb-f7db9e1a7d91,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""",No
7,1607885767773:b3fc50b4-73af-4370-aa3b-0115102e15f8,1607885767773:990ac0fe-ef0c-460c-9c81-50dfc8295a45,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
8,1607885767773:b3fc50b4-73af-4370-aa3b-0115102e15f8,1607885767773:990ac0fe-ef0c-460c-9c81-50dfc8295a45,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""",No
10,1607885767773:446c9e44-215a-41a3-9679-e402a679edc3,1607885767773:753c9138-e28b-43a2-b5ec-197669faf398,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
11,1607885767773:446c9e44-215a-41a3-9679-e402a679edc3,1607885767773:753c9138-e28b-43a2-b5ec-197669faf398,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""",No
13,1607885767773:446c9e44-215a-41a3-9679-e402a679edc3,1607885767773:30ffbf68-2111-4eea-870f-1b2f8015a421,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
14,1607885767773:446c9e44-215a-41a3-9679-e402a679edc3,1607885767773:30ffbf68-2111-4eea-870f-1b2f8015a421,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
15,1607885767773:446c9e44-215a-41a3-9679-e402a679edc3,1607885767773:30ffbf68-2111-4eea-870f-1b2f8015a421,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
16,1607885767773:446c9e44-215a-41a3-9679-e402a679edc3,1607885767773:30ffbf68-2111-4eea-870f-1b2f8015a421,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
17,1607885767773:446c9e44-215a-41a3-9679-e402a679edc3,1607885767773:30ffbf68-2111-4eea-870f-1b2f8015a421,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
19,1607885767773:33789b4e-eab5-4ce6-b2ab-72b9deecb091,1607885767773:ae6f38a6-1ec1-423a-99eb-28c4b84fe79e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
20,1607885767773:33789b4e-eab5-4ce6-b2ab-72b9deecb091,1607885767773:ae6f38a6-1ec1-423a-99eb-28c4b84fe79e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
22,1607885767773:33789b4e-eab5-4ce6-b2ab-72b9deecb091,1607885767773:90a4167b-4137-484e-a2db-241b0b5cb283,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
23,1607885767773:33789b4e-eab5-4ce6-b2ab-72b9deecb091,1607885767773:90a4167b-4137-484e-a2db-241b0b5cb283,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""",No
25,1607885767773:1b53ead5-f466-4d94-b731-0d70c97466f2,1607885767773:0bc777b1-b6ed-4b3a-a07f-adc2b736063f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
26,1607885767773:1b53ead5-f466-4d94-b731-0d70c97466f2,1607885767773:0bc777b1-b6ed-4b3a-a07f-adc2b736063f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""",No
28,1607885767773:062b58e8-1781-42ee-8b25-ebdf37db85b8,1607885767773:bc39bc94-bc7d-4241-996a-88c7099bf672,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
29,1607885767773:062b58e8-1781-42ee-8b25-ebdf37db85b8,1607885767773:bc39bc94-bc7d-4241-996a-88c7099bf672,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""",No
31,1607885767773:062b58e8-1781-42ee-8b25-ebdf37db85b8,1607885767773:3fb4cc46-986c-4aa7-8e17-27d5b08ffa0f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
33,1607885767772:c64e5487-577d-4d86-921e-5dda82405764,1607885767772:d944b750-67cf-420e-9af5-1839ef8e4261,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
