,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
4028,1607884514056:d6bcd49b-9682-4de2-b65d-ac7e0474fc3a,1607884514056:6dee144b-03ec-46ba-b3b8-d4c604893d94,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4029,1607884514056:d6bcd49b-9682-4de2-b65d-ac7e0474fc3a,1607884514056:6dee144b-03ec-46ba-b3b8-d4c604893d94,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
4030,1607884514056:d6bcd49b-9682-4de2-b65d-ac7e0474fc3a,1607884514056:6dee144b-03ec-46ba-b3b8-d4c604893d94,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
4032,1607884514056:c6f4e783-25d9-40c6-abff-77395b0552dd,1607884514056:0fb4c949-c87a-4a48-b656-03d39e8e6071,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4035,1607884514056:bbf17e49-970c-49e8-9d15-e7c546cb099e,1607884514056:8e21f0da-21d8-4e05-bcf2-05ad5c999764,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4038,1607884514056:bbf17e49-970c-49e8-9d15-e7c546cb099e,1607884514056:05e206ff-af00-491b-8eda-9b28b12757c8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4039,1607884514056:bbf17e49-970c-49e8-9d15-e7c546cb099e,1607884514056:05e206ff-af00-491b-8eda-9b28b12757c8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
4040,1607884514056:bbf17e49-970c-49e8-9d15-e7c546cb099e,1607884514056:05e206ff-af00-491b-8eda-9b28b12757c8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
4042,1607884514056:2b3ea0f6-3af1-46ec-a784-30863f777fff,1607884514056:9b89b7c7-4c99-4ecc-8fc0-c7df66d3e6e3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4045,1607884514056:293e0d80-b399-46a3-9e0a-42279b92e9d9,1607884514057:43e5101c-15c8-4ecb-ba71-fd09fb1609c3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4048,1607884514056:1730b05c-f71d-49f8-bd26-7b68d425461a,1607884514056:ae5b9067-8006-42b9-aa5c-c57928b98cf3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4051,1607884514055:e0e74f72-6c7a-44d0-a861-4b21aa74da20,1607884514056:08ee79d1-904e-4fa5-9e69-a139573d57ad,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4054,1607884514055:ce95367a-8c5f-4d77-8644-45a6c560896a,1607884514055:4386a88a-1c63-480b-9c32-7dfc74d5e74b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4058,1607884514055:baa29575-cf23-467b-bf41-6c5739b79c13,1607884514055:5edd0237-9892-4203-9dae-b0cb76c52384,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4061,1607884514055:baa29575-cf23-467b-bf41-6c5739b79c13,1607884514055:08aa305c-bf52-49a8-96f6-ef15af397db1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4064,1607884514055:8cc2a101-c562-4c66-8c78-4d066708e5c8,1607884514055:7d35494f-e55e-4aca-b08a-dbdfab062e68,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes
