,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
1,1607893352739:e65ab200-ccac-4d19-8ebc-a7218dd88b04,1607893352739:fd79421a-29a7-411b-a72f-b0a676d6630b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2,1607893352739:e65ab200-ccac-4d19-8ebc-a7218dd88b04,1607893352739:fd79421a-29a7-411b-a72f-b0a676d6630b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
4,1607893352739:934aaa42-33a6-463f-8b78-9c396da93fc5,1607893352739:60d36ac3-44c7-44cc-be2a-985479499b88,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
5,1607893352739:934aaa42-33a6-463f-8b78-9c396da93fc5,1607893352739:60d36ac3-44c7-44cc-be2a-985479499b88,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
8,1607893352739:4cc34b2e-38c0-4caf-877a-c91f237726aa,1607893352739:caed31e1-3876-4ea1-ae95-fd8454a3971d,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
13,1607893352739:4cc34b2e-38c0-4caf-877a-c91f237726aa,1607893352739:a7351b0d-5d4f-4702-bd86-794175a552a6,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
14,1607893352739:4cc34b2e-38c0-4caf-877a-c91f237726aa,1607893352739:a7351b0d-5d4f-4702-bd86-794175a552a6,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
16,1607893352738:d970341f-a95d-4b0f-b67c-dc92d9cfa3b1,1607893352738:288bee40-e97e-4241-8e22-8d0d40b77465,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
17,1607893352738:d970341f-a95d-4b0f-b67c-dc92d9cfa3b1,1607893352738:288bee40-e97e-4241-8e22-8d0d40b77465,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
19,1607893352738:84b7eb8e-30b4-4938-a211-571fa0cd8c1c,1607893352738:49dc8930-bb72-43e1-a93e-1d77fb5fdb79,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
21,1607893352738:84b7eb8e-30b4-4938-a211-571fa0cd8c1c,1607893352738:418892e8-bdd6-4fda-aadb-e065bfb96c56,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
