,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId
1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes,1607885830162:eee44e9c-da38-4113-bec4-25389396b0a3,1607885830162:c54fc84e-ed7e-41c1-900e-2ae8fd17c930
9,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607885830162:56578115-7f7a-417e-bb4b-763251538dbe,1607885830162:f82a8d30-e4ae-4cbb-890b-a19262e2e03e
10,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes,1607885830162:56578115-7f7a-417e-bb4b-763251538dbe,1607885830162:f82a8d30-e4ae-4cbb-890b-a19262e2e03e
11,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607885830162:56578115-7f7a-417e-bb4b-763251538dbe,1607885830162:f82a8d30-e4ae-4cbb-890b-a19262e2e03e
12,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607885830162:56578115-7f7a-417e-bb4b-763251538dbe,1607885830162:f82a8d30-e4ae-4cbb-890b-a19262e2e03e
13,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607885830162:56578115-7f7a-417e-bb4b-763251538dbe,1607885830162:f82a8d30-e4ae-4cbb-890b-a19262e2e03e
237,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",Yes,1607885830153:e95935ee-67b9-4400-a6dc-84e98ce7da18,1607885830153:5a870cb0-fe21-4a90-a6f5-52d2de74d625
273,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607885830152:8c29368d-9e23-4775-8112-8ec35dea5f90,1607885830152:eefb2e28-2939-4d4e-b3f4-d0eabed8ce3f
1448,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607885830119:0d273499-af60-4516-8175-3852a3fa85aa,1607885830119:bbca2596-3c81-42bd-8068-7d09904b4b8f
1449,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607885830119:0d273499-af60-4516-8175-3852a3fa85aa,1607885830119:bbca2596-3c81-42bd-8068-7d09904b4b8f
1450,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607885830119:0d273499-af60-4516-8175-3852a3fa85aa,1607885830119:bbca2596-3c81-42bd-8068-7d09904b4b8f
5152,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607885829967:6537989a-6905-410f-85d0-6960bf8857d9,1607885829967:fbf26d35-4bbc-4777-b9ef-f53375ca5524
7261,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607885829883:60a91ac8-e335-4b36-bd9a-b5f00be96dac,1607885829883:b05008c8-7d21-4f7f-9c04-4fd96dd7a799
10473,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607885829731:eb5acad9-3c26-4912-9364-8a79ec018cc5,1607885829731:46a08ba7-c294-4640-9fa2-0bb059c358d5
10699,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607885829708:1a55514a-5020-4bc7-9f7e-955b000daa6d,1607885829709:1e8d05f2-8b55-4407-8860-e51f1d098692
