,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId
1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607885767774:699d1324-8931-41cf-8607-bed211eee22e,1607885767774:22fe3a79-08bb-4172-9b62-ab49446c0523
266,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607885767764:56632134-c1eb-46d0-b150-e060d0352f73,1607885767764:1db3fae6-4819-430e-9fdb-79a6c0f24485
