,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId
2,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""class java.lang.Float""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:8f9f9911-24fd-4685-82f8-ce9547f86f93
3,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:8f9f9911-24fd-4685-82f8-ce9547f86f93
4,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:8f9f9911-24fd-4685-82f8-ce9547f86f93
5,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""class java.lang.Boolean""","pop == ""none""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:8f9f9911-24fd-4685-82f8-ce9547f86f93
6,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""none""","pop == ""class java.lang.Boolean""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:8f9f9911-24fd-4685-82f8-ce9547f86f93
7,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:8f9f9911-24fd-4685-82f8-ce9547f86f93
14,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:75cae37d-4b67-4c7d-9e1f-1f02ccc6ca95
15,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:75cae37d-4b67-4c7d-9e1f-1f02ccc6ca95
17,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:75cae37d-4b67-4c7d-9e1f-1f02ccc6ca95
18,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""class java.lang.Float""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:75cae37d-4b67-4c7d-9e1f-1f02ccc6ca95
19,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:75cae37d-4b67-4c7d-9e1f-1f02ccc6ca95
20,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:75cae37d-4b67-4c7d-9e1f-1f02ccc6ca95
25,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:633b9514-f7ef-49d0-bdef-fbeb753ebc64
26,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055374:6a3eea3d-0e6e-4e79-8332-47c752eb0608,1607894055374:633b9514-f7ef-49d0-bdef-fbeb753ebc64
40,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055373:e66f8126-322b-4e7b-8637-d048400cfc75,1607894055373:7d0395de-42b9-439a-9883-6ffa6c986703
41,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055373:e66f8126-322b-4e7b-8637-d048400cfc75,1607894055373:7d0395de-42b9-439a-9883-6ffa6c986703
43,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055373:e66f8126-322b-4e7b-8637-d048400cfc75,1607894055373:7d0395de-42b9-439a-9883-6ffa6c986703
44,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055373:e66f8126-322b-4e7b-8637-d048400cfc75,1607894055373:7d0395de-42b9-439a-9883-6ffa6c986703
65,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:a6e75c0f-1dad-416f-a29b-32a3d62cff51
66,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:a6e75c0f-1dad-416f-a29b-32a3d62cff51
73,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:7e623d32-05e0-4887-91c1-3001e0c3c443
74,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:7e623d32-05e0-4887-91c1-3001e0c3c443
76,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:7e623d32-05e0-4887-91c1-3001e0c3c443
77,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""class java.lang.Short""","pop == ""none""","clear == ""none""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:7e623d32-05e0-4887-91c1-3001e0c3c443
79,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:7e623d32-05e0-4887-91c1-3001e0c3c443
81,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:7e623d32-05e0-4887-91c1-3001e0c3c443
85,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""class java.lang.Short""","pop == ""none""","clear == ""none""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:6907067f-91b8-41b3-a369-47e8724bd7c9
86,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:6907067f-91b8-41b3-a369-47e8724bd7c9
91,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:63f7ea80-d437-4938-ae09-a99949826ba6
98,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""class java.lang.Byte""","pop == ""none""","clear == ""none""",Yes,1607894055373:6f23aad3-9e41-4df7-857d-17c8e515d336,1607894055373:2b22840d-f112-48c3-8714-8844ce86e9e0
124,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607894055373:57bece27-3f29-4750-ad16-67108a6dd17d,1607894055373:3bc2f6d6-aadb-44a9-b4ec-ef7997ec85a8
151,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""",Yes,1607894055372:3ab96a49-7a65-428e-98a1-c7d12d69d09a,1607894055372:8c0bc98b-0048-4597-b8e4-be4b50175ac4
169,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607894055372:3ab96a49-7a65-428e-98a1-c7d12d69d09a,1607894055372:26969484-510b-412f-a0c9-157758105708
247,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""",Yes,1607894055371:e3472ca3-8c80-444d-97b7-9c78f7c4a07b,1607894055371:c76371aa-d8db-4581-bb53-6d5fd241b6a9
248,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055371:e3472ca3-8c80-444d-97b7-9c78f7c4a07b,1607894055371:c76371aa-d8db-4581-bb53-6d5fd241b6a9
249,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607894055371:e3472ca3-8c80-444d-97b7-9c78f7c4a07b,1607894055371:c76371aa-d8db-4581-bb53-6d5fd241b6a9
250,"size == ""10""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055371:e3472ca3-8c80-444d-97b7-9c78f7c4a07b,1607894055371:c76371aa-d8db-4581-bb53-6d5fd241b6a9
251,"size == ""11""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055371:e3472ca3-8c80-444d-97b7-9c78f7c4a07b,1607894055371:c76371aa-d8db-4581-bb53-6d5fd241b6a9
252,"size == ""12""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055371:e3472ca3-8c80-444d-97b7-9c78f7c4a07b,1607894055371:c76371aa-d8db-4581-bb53-6d5fd241b6a9
253,"size == ""12""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607894055371:e3472ca3-8c80-444d-97b7-9c78f7c4a07b,1607894055371:c76371aa-d8db-4581-bb53-6d5fd241b6a9
297,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055371:87c634a0-9025-4bbc-a274-087f7a82d0f3,1607894055371:f0cef989-91b7-4ce0-9c7f-dc4daab3d918
313,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607894055371:87c634a0-9025-4bbc-a274-087f7a82d0f3,1607894055371:ca70e23c-7706-40a7-be64-93d49bbaa852
317,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607894055371:87c634a0-9025-4bbc-a274-087f7a82d0f3,1607894055371:8f9eae8b-b781-43c0-997f-f1844b84d013
343,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""",Yes,1607894055371:61d41cfb-a4a7-49e8-bb38-a2e838775b00,1607894055371:db468751-b99c-474f-851a-a3fb391ddc07
344,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""",Yes,1607894055371:61d41cfb-a4a7-49e8-bb38-a2e838775b00,1607894055371:db468751-b99c-474f-851a-a3fb391ddc07
385,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""class java.lang.Object""","pop == ""none""","clear == ""none""",Yes,1607894055370:1a0c06de-b17a-4bed-90ff-a006a2b8cca6,1607894055371:060b2802-d58f-4eb3-8ae6-8670caacb8f2
