,Unnamed: 0,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,5,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:c9f1c12d-9bc6-480f-aaa6-76bc3b1967fe,0,,17,"['43', '93', '94', '141', '142', '143', '170', '171', '172', '173', '215', '216', '219', '312', '388', '415', '436']",0,
1,14,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:b27a6dbe-94ea-454c-9faa-2c42c353d800,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
2,15,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:b27a6dbe-94ea-454c-9faa-2c42c353d800,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
3,28,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:71b5a43c-3f54-432f-88d8-fba150403a69,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
4,34,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:305f703f-8bd4-489a-acb6-bba6c334b0f9,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
5,35,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:305f703f-8bd4-489a-acb6-bba6c334b0f9,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
6,39,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:234a812d-59bd-4d50-93c7-706dae9da852,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
7,40,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:234a812d-59bd-4d50-93c7-706dae9da852,0,,65,"['16', '17', '18', '19', '20', '21', '22', '23', '24', '30', '44', '45', '46', '47', '48', '49', '50', '51', '52', '59', '60', '86', '93', '127', '149', '150', '152', '153', '154', '162', '182', '183', '184', '185', '215', '216', '219', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '304', '326', '370', '388', '436', '452', '453', '454', '455', '468', '469', '470', '471', '472', '474', '475', '476', '477']",0,
8,49,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:00c832b0-79d2-4000-87c0-975c80b902e7,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
9,90,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607946326321:3fc27a6c-9676-4774-a99c-c0faf64d4891,1607946326321:902b71dc-49f9-4710-adfc-b783317c17f2,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
