,Unnamed: 0,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
11,91,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416760:5880356e-af08-4ad4-98f0-bd1c08640591,1607896416760:84905d88-1359-4db6-867e-1ce48e03aa0e,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
12,93,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416760:5880356e-af08-4ad4-98f0-bd1c08640591,1607896416760:84905d88-1359-4db6-867e-1ce48e03aa0e,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
13,125,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416760:56532950-2c4a-467c-bf78-40a7b01920ed,1607896416761:ad304123-5880-4ac0-a1e7-1e6777d85006,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
14,184,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416759:eb04a283-e26c-42c6-984b-96e78880f5cf,1607896416759:8c053269-6407-4881-9b67-44da8bc05641,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
15,338,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416758:c05ed6ca-a218-48d9-9896-5f099b3f41ec,1607896416758:d1f8ed9c-df61-4eec-968c-ea050595db0e,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
16,515,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416755:f4ec1f0e-b13a-4bc1-9501-a69db1879c80,1607896416755:d7565381-2e3d-4d55-aa1d-ff279d26aa44,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
17,587,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416755:cc66a930-813d-4331-b2ef-74f92885ca32,1607896416756:a55e196e-28e5-4df5-847f-93633d5f7b71,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
18,656,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416754:3a82147d-bb40-4277-95ba-9fa204c9ebd9,1607896416754:bc42d268-0b7f-48d5-b418-d0f7ece214a2,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
19,1012,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416750:0886dc90-cc20-4f01-8987-a820de2f1bc5,1607896416750:c05aa075-a3b7-408e-b1d0-348a967567ce,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
20,1989,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416736:4b64b7da-a6ba-4567-bb07-34a7840c2df5,1607896416736:f8cbafe0-6f60-4c5f-ad0c-d47a462ff849,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
21,5545,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416706:d8640f58-32a4-4ae2-95b3-045406b5b93d,1607896416706:696da216-93fb-4cb6-90d5-734f8ab4b465,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
22,8511,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416679:f9a23618-a5d6-48b4-bf74-83ea9b2dba33,1607896416679:2cf90c5c-c73d-4b32-bede-4aaf36fedbc3,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
