,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff,testId,instanceId
12,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""class java.lang.Float""","clear == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""class java.lang.Float""","pop_p == ""none""","clear_p == ""none""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
13,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""none""","pop_p == ""class java.lang.Float""","clear_p == ""none""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
14,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
15,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""class java.lang.Boolean""","pop == ""none""","clear == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","push_p == ""class java.lang.Long""","pop_p == ""none""","clear_p == ""none""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
16,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","push_p == ""class java.lang.Boolean""","pop_p == ""none""","clear_p == ""none""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
17,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""class experiment.drivers.AlejaStackTestDriver""","pop_p == ""none""","clear_p == ""none""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
18,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""none""","pop_p == ""class experiment.drivers.AlejaStackTestDriver""","clear_p == ""none""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
19,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""none""","pop_p == ""class experiment.drivers.AlejaStackTestDriver""","clear_p == ""none""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
20,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""class java.lang.Float""","clear == ""none""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""class java.lang.Float""","pop_p == ""none""","clear_p == ""none""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
21,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""none""","pop_p == ""class java.lang.Float""","clear_p == ""none""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
