,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes,1607898863339:adaf50ea-fcd5-4e06-abb9-3f793c7b5726,1607898863339:00254af3-78d9-4e74-a8ce-65260c56d97c
2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes,1607898863339:adaf50ea-fcd5-4e06-abb9-3f793c7b5726,1607898863339:00254af3-78d9-4e74-a8ce-65260c56d97c
19,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes,1607898863338:1d60746b-6b6b-46b3-bdec-d3ec993da4f1,1607898863339:24b1155e-3e3b-4afc-b45b-4585eaf61a59
20,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes,1607898863338:1d60746b-6b6b-46b3-bdec-d3ec993da4f1,1607898863339:24b1155e-3e3b-4afc-b45b-4585eaf61a59
21,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes,1607898863338:1d60746b-6b6b-46b3-bdec-d3ec993da4f1,1607898863339:24b1155e-3e3b-4afc-b45b-4585eaf61a59
28,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes,1607898863338:049808c6-3be3-4340-bf6f-45a6989b8fcd,1607898863338:1b612add-e4e3-41f8-b7d8-79e90d99b022
38,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes,1607898863337:a7d10bd7-2065-4b6e-b6da-fc30a559680c,1607898863337:923f271e-ef17-4dc9-87d1-c1f13f90c853
235,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""3""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes,1607898863329:aa79007f-feaf-4dc8-99e5-797d7f2fc599,1607898863329:1ce9902e-5f82-4f69-ab51-ed8138020cc7
631,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""3""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes,1607898863314:9fc6a263-7372-43b8-92bd-3eee129ec72a,1607898863314:d186b7f5-2597-4240-a49b-c811911dfa8e
1163,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes,1607898863293:108477f4-d57b-4a57-aba0-0ef7ff972502,1607898863293:d0ea1693-93e0-48b4-9dba-5f8e9a795b3f
1164,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes,1607898863293:108477f4-d57b-4a57-aba0-0ef7ff972502,1607898863293:d0ea1693-93e0-48b4-9dba-5f8e9a795b3f
1360,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes,1607898863284:f67c3035-b1ea-46d6-a28e-a4fce5bed20c,1607898863284:c2f6f41a-ffbc-49bd-a821-9e30a1d21265
2450,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes,1607898863211:80f7d506-5f8c-40b3-a0fe-3f2df18da423,1607898863211:60c598fc-af6f-4cc5-85af-39b7458b39cc
9305,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""3""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes,1607898862713:8e4c618a-4f56-407f-a17c-d6b784433b68,1607898862713:20e17041-50dc-48d6-b91a-6e2895e65d03
