,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
9329,1607900476597:91192efa-a018-4fe7-9bd9-1330e15f36c3,1607900476597:b443f703-a10a-4fd2-99d5-cb676b136f06,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9331,1607900476597:91192efa-a018-4fe7-9bd9-1330e15f36c3,1607900476597:75b94408-4f39-48f8-aa78-97615956f285,0,True,EmptyObject,FALSE,FALSE,TRUE,0,No
9332,1607900476597:91192efa-a018-4fe7-9bd9-1330e15f36c3,1607900476597:75b94408-4f39-48f8-aa78-97615956f285,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9333,1607900476597:91192efa-a018-4fe7-9bd9-1330e15f36c3,1607900476597:75b94408-4f39-48f8-aa78-97615956f285,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9334,1607900476597:91192efa-a018-4fe7-9bd9-1330e15f36c3,1607900476597:75b94408-4f39-48f8-aa78-97615956f285,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9335,1607900476597:91192efa-a018-4fe7-9bd9-1330e15f36c3,1607900476597:75b94408-4f39-48f8-aa78-97615956f285,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9337,1607900476596:688d5c55-a721-498f-91a5-430759d09b40,1607900476596:8743e442-f66c-4ae1-a91a-374eb8e89f17,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9338,1607900476596:688d5c55-a721-498f-91a5-430759d09b40,1607900476596:8743e442-f66c-4ae1-a91a-374eb8e89f17,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9340,1607900476596:688d5c55-a721-498f-91a5-430759d09b40,1607900476596:83fe3b27-d4cb-4301-854c-c22db4233f77,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9341,1607900476596:688d5c55-a721-498f-91a5-430759d09b40,1607900476596:83fe3b27-d4cb-4301-854c-c22db4233f77,2,True,class java.lang.String,TRUE,FALSE,FALSE,1,Yes
9342,1607900476596:688d5c55-a721-498f-91a5-430759d09b40,1607900476596:83fe3b27-d4cb-4301-854c-c22db4233f77,3,True,class java.lang.String,TRUE,FALSE,FALSE,2,Yes
9344,1607900476596:368c7aae-97da-47ec-87ee-e4de9de17713,1607900476596:5141fc35-615b-4f40-9899-d1b810ba7c02,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9345,1607900476596:368c7aae-97da-47ec-87ee-e4de9de17713,1607900476596:5141fc35-615b-4f40-9899-d1b810ba7c02,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9347,1607900476596:052a2d30-bb42-4214-ba29-109d4e08c71a,1607900476597:45a97e52-5aa5-4649-8783-121bed825c6b,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9348,1607900476596:052a2d30-bb42-4214-ba29-109d4e08c71a,1607900476597:45a97e52-5aa5-4649-8783-121bed825c6b,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9350,1607900476596:052a2d30-bb42-4214-ba29-109d4e08c71a,1607900476597:263aa851-bd55-40a0-84ae-783e431c1119,0,True,EmptyObject,FALSE,FALSE,TRUE,0,No
9351,1607900476596:052a2d30-bb42-4214-ba29-109d4e08c71a,1607900476597:263aa851-bd55-40a0-84ae-783e431c1119,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9352,1607900476596:052a2d30-bb42-4214-ba29-109d4e08c71a,1607900476597:263aa851-bd55-40a0-84ae-783e431c1119,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9353,1607900476596:052a2d30-bb42-4214-ba29-109d4e08c71a,1607900476597:263aa851-bd55-40a0-84ae-783e431c1119,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9354,1607900476596:052a2d30-bb42-4214-ba29-109d4e08c71a,1607900476597:263aa851-bd55-40a0-84ae-783e431c1119,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9356,1607900476595:ab78f70c-d59d-4419-b337-fd4148313eae,1607900476595:dc5f8821-1f93-427e-8f45-a49b2a34203f,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9357,1607900476595:ab78f70c-d59d-4419-b337-fd4148313eae,1607900476595:dc5f8821-1f93-427e-8f45-a49b2a34203f,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9359,1607900476595:ab78f70c-d59d-4419-b337-fd4148313eae,1607900476595:3f7b634c-f83a-4b1c-b239-4dfd6b167f00,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9361,1607900476595:3110eb50-74c8-403d-989f-6836c5e7bb17,1607900476595:a3afad6d-f83e-4f18-9431-09fc50ae9dd7,0,True,EmptyObject,FALSE,FALSE,TRUE,0,No
9362,1607900476595:3110eb50-74c8-403d-989f-6836c5e7bb17,1607900476595:a3afad6d-f83e-4f18-9431-09fc50ae9dd7,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9363,1607900476595:3110eb50-74c8-403d-989f-6836c5e7bb17,1607900476595:a3afad6d-f83e-4f18-9431-09fc50ae9dd7,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9364,1607900476595:3110eb50-74c8-403d-989f-6836c5e7bb17,1607900476595:a3afad6d-f83e-4f18-9431-09fc50ae9dd7,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9365,1607900476595:3110eb50-74c8-403d-989f-6836c5e7bb17,1607900476595:a3afad6d-f83e-4f18-9431-09fc50ae9dd7,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9367,1607900476595:3110eb50-74c8-403d-989f-6836c5e7bb17,1607900476595:7e0af9f4-86e4-4166-8f9f-2375a469bb89,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9368,1607900476595:3110eb50-74c8-403d-989f-6836c5e7bb17,1607900476595:7e0af9f4-86e4-4166-8f9f-2375a469bb89,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9370,1607900476594:60350843-9826-4aad-9cf6-de9409555a43,1607900476594:02930292-1f70-4187-8322-959713dd7c8e,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9371,1607900476594:60350843-9826-4aad-9cf6-de9409555a43,1607900476594:02930292-1f70-4187-8322-959713dd7c8e,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9373,1607900476594:346d46d1-1b6c-48ec-b1e2-ac4582783aa2,1607900476594:f3bce020-6c2a-49d4-9a0f-6b41db4c57e3,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9374,1607900476594:346d46d1-1b6c-48ec-b1e2-ac4582783aa2,1607900476594:f3bce020-6c2a-49d4-9a0f-6b41db4c57e3,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9376,1607900476594:346d46d1-1b6c-48ec-b1e2-ac4582783aa2,1607900476594:2df5ed55-9973-45fe-829c-b1848d5ced4f,0,True,EmptyObject,FALSE,FALSE,TRUE,0,No
9377,1607900476594:346d46d1-1b6c-48ec-b1e2-ac4582783aa2,1607900476594:2df5ed55-9973-45fe-829c-b1848d5ced4f,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9378,1607900476594:346d46d1-1b6c-48ec-b1e2-ac4582783aa2,1607900476594:2df5ed55-9973-45fe-829c-b1848d5ced4f,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9379,1607900476594:346d46d1-1b6c-48ec-b1e2-ac4582783aa2,1607900476594:2df5ed55-9973-45fe-829c-b1848d5ced4f,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9380,1607900476594:346d46d1-1b6c-48ec-b1e2-ac4582783aa2,1607900476594:2df5ed55-9973-45fe-829c-b1848d5ced4f,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9382,1607900476594:0e5c8e68-02fa-44af-b454-01a00021d1b9,1607900476594:21ed78c8-1552-4d74-ab53-f59783241639,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9383,1607900476594:0e5c8e68-02fa-44af-b454-01a00021d1b9,1607900476594:21ed78c8-1552-4d74-ab53-f59783241639,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9385,1607900476593:7f88dda5-8b57-4baa-a1f1-ab38b636ef5c,1607900476593:070dfb2a-b12f-42b0-bcd8-fc806bc236b5,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9386,1607900476593:7f88dda5-8b57-4baa-a1f1-ab38b636ef5c,1607900476593:070dfb2a-b12f-42b0-bcd8-fc806bc236b5,2,True,class java.lang.String,TRUE,FALSE,FALSE,1,Yes
9387,1607900476593:7f88dda5-8b57-4baa-a1f1-ab38b636ef5c,1607900476593:070dfb2a-b12f-42b0-bcd8-fc806bc236b5,3,True,class java.lang.String,TRUE,FALSE,FALSE,2,Yes
9388,1607900476593:7f88dda5-8b57-4baa-a1f1-ab38b636ef5c,1607900476593:070dfb2a-b12f-42b0-bcd8-fc806bc236b5,3,True,class java.lang.String,FALSE,TRUE,FALSE,3,Yes
9390,1607900476593:545ec21c-4871-464a-8ae3-9c0b50c4be8d,1607900476593:ef0bd8d8-1efc-41d4-92cc-c3543e9a349a,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9391,1607900476593:545ec21c-4871-464a-8ae3-9c0b50c4be8d,1607900476593:ef0bd8d8-1efc-41d4-92cc-c3543e9a349a,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9393,1607900476593:27464ab0-78d6-4082-b191-9f7948e8b3c0,1607900476593:576e0ec8-46e4-470e-adfe-2e200745cf89,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
