,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
2255,1607884796898:82667c86-fb10-4ea1-84e8-c197139c538e,1607884796898:4c0e6476-82b6-4dd2-8ce6-d55b61052f58,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2256,1607884796898:82667c86-fb10-4ea1-84e8-c197139c538e,1607884796898:4c0e6476-82b6-4dd2-8ce6-d55b61052f58,0,True,EmptyObject,none,EmptyObject,none,0,No
2258,1607884796898:71b90186-23e8-4a58-8183-f62fa12f4769,1607884796898:f520c2d7-e995-406f-803d-56d584fc1893,0,True,EmptyObject,none,none,clear,0,No
2259,1607884796898:71b90186-23e8-4a58-8183-f62fa12f4769,1607884796898:f520c2d7-e995-406f-803d-56d584fc1893,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2260,1607884796898:71b90186-23e8-4a58-8183-f62fa12f4769,1607884796898:f520c2d7-e995-406f-803d-56d584fc1893,0,True,EmptyObject,none,none,clear,0,No
2262,1607884796898:71b90186-23e8-4a58-8183-f62fa12f4769,1607884796898:6f83d698-9636-46ea-9b76-68475fc32236,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2263,1607884796898:71b90186-23e8-4a58-8183-f62fa12f4769,1607884796898:6f83d698-9636-46ea-9b76-68475fc32236,0,True,EmptyObject,none,EmptyObject,none,0,No
2265,1607884796898:6eb975a5-1a1e-429a-9c0f-7176d1150e38,1607884796898:fd8ae1af-97a1-4660-9bbb-858f8f214113,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2266,1607884796898:6eb975a5-1a1e-429a-9c0f-7176d1150e38,1607884796898:fd8ae1af-97a1-4660-9bbb-858f8f214113,0,True,EmptyObject,none,EmptyObject,none,0,No
2268,1607884796898:6eb975a5-1a1e-429a-9c0f-7176d1150e38,1607884796898:2b45e176-8f44-4624-baef-0a3b303f8f90,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2271,1607884796898:480000e9-f679-4bc0-9f0b-ff8eb2ea0ba4,1607884796898:f5243d1e-ce0e-4706-ae9b-ebcf28c62375,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2272,1607884796898:480000e9-f679-4bc0-9f0b-ff8eb2ea0ba4,1607884796898:f5243d1e-ce0e-4706-ae9b-ebcf28c62375,0,True,EmptyObject,none,EmptyObject,none,0,No
2274,1607884796898:1591eebb-16d6-46c5-a1c8-e556bc18bef6,1607884796898:a0c55cca-4d73-44bb-847c-a9cf6a85fb20,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2275,1607884796898:1591eebb-16d6-46c5-a1c8-e556bc18bef6,1607884796898:a0c55cca-4d73-44bb-847c-a9cf6a85fb20,0,True,EmptyObject,none,EmptyObject,none,0,No
2277,1607884796897:fce73613-1e86-4231-933a-5b07200bd1fd,1607884796897:ae4427ce-e531-4574-8df5-e15d9dda8088,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2278,1607884796897:fce73613-1e86-4231-933a-5b07200bd1fd,1607884796897:ae4427ce-e531-4574-8df5-e15d9dda8088,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2280,1607884796897:fce73613-1e86-4231-933a-5b07200bd1fd,1607884796897:35b12eb0-fc3d-494b-9292-24d54efbe714,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2281,1607884796897:fce73613-1e86-4231-933a-5b07200bd1fd,1607884796897:35b12eb0-fc3d-494b-9292-24d54efbe714,0,True,EmptyObject,none,EmptyObject,none,0,No
2283,1607884796897:f48fb2c0-e89e-48f1-9679-4fdfcd7f4158,1607884796897:e2bfadf9-6a3d-4714-8e69-c81b6ccad5ba,0,True,EmptyObject,none,none,clear,0,No
2284,1607884796897:f48fb2c0-e89e-48f1-9679-4fdfcd7f4158,1607884796897:e2bfadf9-6a3d-4714-8e69-c81b6ccad5ba,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2285,1607884796897:f48fb2c0-e89e-48f1-9679-4fdfcd7f4158,1607884796897:e2bfadf9-6a3d-4714-8e69-c81b6ccad5ba,0,True,EmptyObject,none,none,clear,0,No
