,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
5301,1607884742958:c9c976b0-1d70-41ea-9156-ebe783027d8d,1607884742959:c9912dd3-f587-494c-95eb-3a220e4df3f0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5303,1607884742958:c9c976b0-1d70-41ea-9156-ebe783027d8d,1607884742959:bb0ac919-5a6b-4c76-8b5c-ba8f689d5acb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5304,1607884742958:c9c976b0-1d70-41ea-9156-ebe783027d8d,1607884742959:bb0ac919-5a6b-4c76-8b5c-ba8f689d5acb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5306,1607884742958:c9c976b0-1d70-41ea-9156-ebe783027d8d,1607884742959:269af109-3af3-4895-9c37-f21174b57aa3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5309,1607884742958:c1c96e12-140e-4370-b458-63778d097728,1607884742958:6c624fe3-cc5e-4ad6-a30c-59410ed01cec,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5312,1607884742958:c1c96e12-140e-4370-b458-63778d097728,1607884742958:4971ba6f-af85-44f1-8fbc-69ed20f01a73,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5313,1607884742958:c1c96e12-140e-4370-b458-63778d097728,1607884742958:4971ba6f-af85-44f1-8fbc-69ed20f01a73,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5315,1607884742958:c16eb704-5cf8-4d5e-bb74-f8453e9407f4,1607884742958:2240847c-5128-4f05-b4a5-595be94043f7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5318,1607884742958:b8be4a29-3b0b-4617-88d4-d22eb6c33974,1607884742958:cfd53a83-f562-4abb-b7a5-da0141def9bb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5322,1607884742958:b8be4a29-3b0b-4617-88d4-d22eb6c33974,1607884742958:0534bc25-a875-4f7f-bfe3-59fca5c7f4ca,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5327,1607884742957:6be4420b-0abf-46b7-ba0b-7834b5c41f8f,1607884742957:d461906c-816b-48c3-886c-57c624fd9973,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5328,1607884742957:6be4420b-0abf-46b7-ba0b-7834b5c41f8f,1607884742957:d461906c-816b-48c3-886c-57c624fd9973,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5330,1607884742957:6be4420b-0abf-46b7-ba0b-7834b5c41f8f,1607884742957:bf58b663-73b6-4ee1-a156-ae6ec8abd784,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5333,1607884742957:37d28ece-4240-4b76-a6a1-ae43eb2e863c,1607884742957:10fcf81f-5226-4079-af6c-c56ff2fedd23,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5336,1607884742957:16997d59-3f2b-4b67-9cdb-860524a272e1,1607884742957:d1eb1667-f209-45d5-b5de-6b2f124710cb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5339,1607884742957:16997d59-3f2b-4b67-9cdb-860524a272e1,1607884742957:4bdbbd07-05f0-4c91-8029-20efa75a1117,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5343,1607884742956:d38baf1a-2a6a-4e85-9da4-a38589b79c3c,1607884742956:ed6d6b53-68b6-4ce6-ac00-7fa2f5763835,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5346,1607884742956:8b000205-40a5-40f0-9949-8b2436ec67ca,1607884742956:b25c375b-fc83-4a85-aa9d-e37eca3ebe29,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5350,1607884742956:197db4df-38e1-4218-88e9-746018a2dee6,1607884742956:a19a502c-f088-42a5-8204-d30c1bf5ad8f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5355,1607884742956:197db4df-38e1-4218-88e9-746018a2dee6,1607884742956:6e501835-2188-4b67-886f-b8d846c4e345,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5358,1607884742955:f2180ad1-1fd1-4ad6-a855-fb90e023f6f9,1607884742955:7cb2dca6-10bc-4163-bb2a-892fa9409c2d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5359,1607884742955:f2180ad1-1fd1-4ad6-a855-fb90e023f6f9,1607884742955:7cb2dca6-10bc-4163-bb2a-892fa9409c2d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5361,1607884742955:f2180ad1-1fd1-4ad6-a855-fb90e023f6f9,1607884742955:01cb2e1e-e64d-419d-9211-dd52e3e64c8a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5364,1607884742955:ada01a98-de70-4b98-b120-57ee6d7cbc2b,1607884742955:28c77efd-3c72-4d55-9d07-e0964b9bb3d8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5365,1607884742955:ada01a98-de70-4b98-b120-57ee6d7cbc2b,1607884742955:28c77efd-3c72-4d55-9d07-e0964b9bb3d8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5367,1607884742955:ada01a98-de70-4b98-b120-57ee6d7cbc2b,1607884742955:1fb63a97-2920-49f7-8fad-0ea540892b1d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5370,1607884742955:38dcdd09-8f3c-4540-bcf4-d68a29775139,1607884742955:d2d03fc8-bbc0-4dc7-b1e1-927c72ec739e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5374,1607884742954:95106bcd-c111-4327-a0b6-3965a6246297,1607884742954:2fde379e-a4d8-45ea-a972-45d9e2834666,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5377,1607884742954:95106bcd-c111-4327-a0b6-3965a6246297,1607884742954:0de1d755-aa72-4ca0-a630-322dbc745070,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5379,1607884742954:6d32a3fb-f30f-4bde-83cc-605801cbe416,1607884742954:47a86a66-3d27-4d0e-a43f-539f78772902,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5383,1607884742954:6d32a3fb-f30f-4bde-83cc-605801cbe416,1607884742954:41d3f7ce-5a89-4e69-b35c-2fce6967d7f3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5388,1607884742954:62bbb11e-22a9-4e2c-94c1-9bee2fcac46a,1607884742954:8718eb36-2640-4fe6-a10f-08b3c6b314af,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5392,1607884742953:9c9bf1de-2eef-4b7b-ad9e-4f85842ab29e,1607884742953:d672ddca-3f97-4077-aecf-3c57d0de2366,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5397,1607884742953:9c9bf1de-2eef-4b7b-ad9e-4f85842ab29e,1607884742953:b39582f5-3626-42c3-896e-5d872e825df2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5400,1607884742953:9c9bf1de-2eef-4b7b-ad9e-4f85842ab29e,1607884742953:254aa1f3-73a8-4c2c-8c7a-8df1ae506b51,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5401,1607884742953:9c9bf1de-2eef-4b7b-ad9e-4f85842ab29e,1607884742953:254aa1f3-73a8-4c2c-8c7a-8df1ae506b51,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5403,1607884742953:0c879b92-37d9-48bf-a319-07b47906ffd8,1607884742953:305e3553-b8c5-4314-8973-4f9ce1c48e73,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5406,1607884742952:e7181653-c398-44a8-a588-b01f78458f93,1607884742953:2cefdc30-ebd6-444c-955f-ef53c7ab7f99,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5410,1607884742952:e7181653-c398-44a8-a588-b01f78458f93,1607884742952:ccf49da5-a2d7-4c72-aec6-8d7b596d1c9f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5412,1607884742952:1a495930-f3be-4393-846f-a172d3eaa8e2,1607884742952:fd3aa8b1-f3ad-4e19-942a-26e07d02d6bf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5416,1607884742952:1a495930-f3be-4393-846f-a172d3eaa8e2,1607884742952:f49d6765-d75d-44c4-ad47-ce95f5462d51,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5421,1607884742951:a06c1fea-e784-4622-b56b-e292e788731a,1607884742951:d15b19f1-ceed-4795-9b06-5d3a57c8a727,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5422,1607884742951:a06c1fea-e784-4622-b56b-e292e788731a,1607884742951:d15b19f1-ceed-4795-9b06-5d3a57c8a727,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5423,1607884742951:a06c1fea-e784-4622-b56b-e292e788731a,1607884742951:d15b19f1-ceed-4795-9b06-5d3a57c8a727,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5425,1607884742951:a06c1fea-e784-4622-b56b-e292e788731a,1607884742951:2adbd1e2-0bcb-4acc-a415-97f25d2b838f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
