,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
167,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""103""",Yes,1607893687720:00756e20-d2bd-4360-b71a-210c6f78233f,1607893687720:d113ee30-ae21-4ea1-b2e1-bf5faab72ca0
182,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""",Yes,1607893687720:00756e20-d2bd-4360-b71a-210c6f78233f,1607893687720:4cda0794-e54f-495e-9b81-9ea67a0162ff
203,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""",Yes,1607893687719:f59a58a9-f182-4bec-9ed5-444ac697534c,1607893687719:e2a834de-5dcc-4bf3-bea0-90d47d1a7f96
204,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""",Yes,1607893687719:f59a58a9-f182-4bec-9ed5-444ac697534c,1607893687719:e2a834de-5dcc-4bf3-bea0-90d47d1a7f96
300,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
301,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""104""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
302,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""104""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
305,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
370,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""104""",Yes,1607893687717:5b60a8f2-88ae-4986-b90d-96da3443e46d,1607893687718:b366964e-7754-49aa-8360-58b03388d76b
371,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""104""",Yes,1607893687717:5b60a8f2-88ae-4986-b90d-96da3443e46d,1607893687718:b366964e-7754-49aa-8360-58b03388d76b
386,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687717:5b60a8f2-88ae-4986-b90d-96da3443e46d,1607893687718:a40a41de-c3a8-4d95-8e6d-056b01da9c28
488,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""",Yes,1607893687716:3d574921-b336-4edc-b82c-3d96564135f1,1607893687716:4e439769-f209-4f1c-8578-8edd7e5234ad
534,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""",Yes,1607893687716:0155d827-423a-4e8d-807c-e2be93b32248,1607893687716:68b81eab-1d60-4f7c-b431-a5641b61d755
618,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""",Yes,1607893687715:1f83b3cc-3633-4fc1-abd1-272845881e49,1607893687715:8f44a38e-92ee-49c9-b5b7-84a278d34439
