,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
2,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607895376628:95df247e-b69d-44a4-bce3-2760f95114b2,1607895376628:a4fd0023-5a32-4245-b71d-c43eb5b55377
24,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""",Yes,1607895376628:0b85fc06-0fc9-4d4d-87af-777ff323577a,1607895376628:bf348a87-59e4-4777-a664-a67a47e13e7a
25,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607895376628:0b85fc06-0fc9-4d4d-87af-777ff323577a,1607895376628:bf348a87-59e4-4777-a664-a67a47e13e7a
26,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""",Yes,1607895376628:0b85fc06-0fc9-4d4d-87af-777ff323577a,1607895376628:bf348a87-59e4-4777-a664-a67a47e13e7a
27,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""3""",Yes,1607895376628:0b85fc06-0fc9-4d4d-87af-777ff323577a,1607895376628:bf348a87-59e4-4777-a664-a67a47e13e7a
28,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""4""",Yes,1607895376628:0b85fc06-0fc9-4d4d-87af-777ff323577a,1607895376628:bf348a87-59e4-4777-a664-a67a47e13e7a
71,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607895376626:248af49f-ee3d-4f5e-a274-714cfb80dfaf,1607895376626:7dd70c67-1288-439a-9bb1-883b33957134
244,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607895376618:4589022a-08e3-49d1-864c-47f70c505cc1,1607895376618:794b9932-3da4-4924-80aa-3e745972a4ac
266,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""5""",Yes,1607895376617:8c1c5ffe-8aca-43f6-a1e8-487fcf0a58ab,1607895376617:f4c44681-a203-40db-a0d6-e07da78cdd51
357,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607895376614:1ce1b3fb-7662-4886-b167-aa2d5c27fb6d,1607895376614:59c0b849-7e60-49ce-815c-15d1811d60b5
969,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""1""",Yes,1607895376592:9bf813e1-7550-47bf-8826-ae0ba2474d69,1607895376592:8767d322-fa22-4a53-a73d-1c674ed2f672
1137,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607895376587:1595fca4-35e1-421c-95cd-9f7957229832,1607895376587:ae02fae6-561e-40bb-bf7c-50a305ccd84e
1361,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""6""",Yes,1607895376579:cae10041-cea0-44fd-bb8f-cc1edec36dac,1607895376579:078fbd6c-44c9-46c3-886b-46e09b06ceab
1362,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""7""",Yes,1607895376579:cae10041-cea0-44fd-bb8f-cc1edec36dac,1607895376579:078fbd6c-44c9-46c3-886b-46e09b06ceab
1363,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""8""",Yes,1607895376579:cae10041-cea0-44fd-bb8f-cc1edec36dac,1607895376579:078fbd6c-44c9-46c3-886b-46e09b06ceab
1600,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607895376569:cc8963d4-6883-457d-b3a4-a8caec007cdc,1607895376570:beeea1c3-7295-4a14-8383-abe25ec8db2d
4275,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607895376457:cf2ae853-ec7b-46fa-9ead-e19d2431aaf4,1607895376457:0440a514-ba6e-491b-b9ae-707b71c75ec7
4870,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607895376428:85feab41-2ef2-4c6f-8483-4b42800f8e5e,1607895376428:5966426d-053f-44ee-ba90-22dbaf841bcc
7165,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607895376315:532c51cc-b2db-4a86-9801-d768a692ab74,1607895376315:4ee674ac-630e-4d3d-8a1e-10815c929a2f
9944,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""7""",Yes,1607895376137:08e39251-2a83-4545-9fad-2995b58fc3c3,1607895376137:441bc236-4e37-4703-aa5c-57086adea0c9
10147,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""6""",Yes,1607895376109:526ef19f-e9af-422f-a69b-c212ccf90ce3,1607895376109:1a636678-3921-47a0-9801-d3faf1bbe7ba
10309,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607895376084:8412cb4a-8fee-4591-817c-ef7bd10bb35a,1607895376084:75c94ca2-d085-410f-8861-5cc9915ea5e3
10323,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607895376081:b11d3cde-58b5-4e06-8687-263183c70383,1607895376081:5e8039fa-a863-4e3c-9c2d-d74eff6dee51
