,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
75,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""4""",Yes,1607893902383:c5b4a248-9197-4589-90d5-07c8024c2d92,1607893902383:ea397df3-582a-44b5-ab86-3c790bf0227e
93,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607893902383:c5b4a248-9197-4589-90d5-07c8024c2d92,1607893902383:26b2db59-ed48-4f75-9a3b-861e271e9539
94,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607893902383:c5b4a248-9197-4589-90d5-07c8024c2d92,1607893902383:26b2db59-ed48-4f75-9a3b-861e271e9539
106,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607893902383:c5b4a248-9197-4589-90d5-07c8024c2d92,1607893902383:0250617a-dbba-4deb-a6bd-09e69319acfc
117,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""",Yes,1607893902383:3b55e925-f890-47fb-a602-428493870950,1607893902383:e1ff0b9a-2bc2-4300-88e0-c15a5a3061e6
118,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607893902383:3b55e925-f890-47fb-a602-428493870950,1607893902383:e1ff0b9a-2bc2-4300-88e0-c15a5a3061e6
119,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""3""",Yes,1607893902383:3b55e925-f890-47fb-a602-428493870950,1607893902383:e1ff0b9a-2bc2-4300-88e0-c15a5a3061e6
144,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""3""",Yes,1607893902382:97b1315a-eb0c-4804-a1a0-eb5581a86fdb,1607893902382:959c01a7-7af3-4b39-abff-97dc02c8fcfd
169,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607893902382:25e51f84-a8b3-4d7f-94ec-172a74d336fc,1607893902382:9a1b6f06-d6be-454e-9af0-b08ddb9f2137
178,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""3""",Yes,1607893902382:25e51f84-a8b3-4d7f-94ec-172a74d336fc,1607893902382:2d26fa9c-651d-4945-b8ba-1751572ed3f5
188,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607893902382:25e51f84-a8b3-4d7f-94ec-172a74d336fc,1607893902382:1af689f8-1ff4-430d-8448-3598d22ce922
