,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
6,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""",Yes,1607947919946:39b7586f-51e5-4309-ba3e-d490519980f0,1607947919946:bcaa9f71-c8bc-4fcb-a26f-9bdfb167ed31
7,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607947919946:39b7586f-51e5-4309-ba3e-d490519980f0,1607947919946:bcaa9f71-c8bc-4fcb-a26f-9bdfb167ed31
12,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607947919946:39b7586f-51e5-4309-ba3e-d490519980f0,1607947919946:8c12ac6f-9904-4c58-bd30-7660cd70727b
13,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607947919946:39b7586f-51e5-4309-ba3e-d490519980f0,1607947919946:8c12ac6f-9904-4c58-bd30-7660cd70727b
14,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607947919946:39b7586f-51e5-4309-ba3e-d490519980f0,1607947919946:8c12ac6f-9904-4c58-bd30-7660cd70727b
21,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607947919946:39b7586f-51e5-4309-ba3e-d490519980f0,1607947919946:5b3b1d01-d909-481c-8970-54f1ed56498f
22,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607947919946:39b7586f-51e5-4309-ba3e-d490519980f0,1607947919946:5b3b1d01-d909-481c-8970-54f1ed56498f
24,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607947919946:39b7586f-51e5-4309-ba3e-d490519980f0,1607947919946:5b3b1d01-d909-481c-8970-54f1ed56498f
26,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""",Yes,1607947919946:39b7586f-51e5-4309-ba3e-d490519980f0,1607947919946:5b3b1d01-d909-481c-8970-54f1ed56498f
39,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""1""",Yes,1607947919945:c4da4364-018c-4fc5-b958-298f8442888a,1607947919945:cfb5692d-67cc-49e8-9b7f-683b8b4d41eb
