,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:f5de312c-faa5-4a37-a3ac-8b49390ef29e
2,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""","size_p == ""1""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:f5de312c-faa5-4a37-a3ac-8b49390ef29e
3,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""2""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:f5de312c-faa5-4a37-a3ac-8b49390ef29e
4,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:f5de312c-faa5-4a37-a3ac-8b49390ef29e
8,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""","size_p == ""2""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b7d79755-07a0-47f4-8e4b-54f0e1fe811e
9,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""3""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b7d79755-07a0-47f4-8e4b-54f0e1fe811e
10,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""4""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b7d79755-07a0-47f4-8e4b-54f0e1fe811e
11,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""5""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b7d79755-07a0-47f4-8e4b-54f0e1fe811e
16,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""","size_p == ""1""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b17e50e5-da1a-436a-b66b-6240ced9e9a1
17,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""class java.lang.Boolean""","pop == ""none""","clear == ""none""","size_p == ""2""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b17e50e5-da1a-436a-b66b-6240ced9e9a1
18,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""3""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b17e50e5-da1a-436a-b66b-6240ced9e9a1
19,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""","size_p == ""4""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b17e50e5-da1a-436a-b66b-6240ced9e9a1
