,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607898863339:adaf50ea-fcd5-4e06-abb9-3f793c7b5726,1607898863339:00254af3-78d9-4e74-a8ce-65260c56d97c
2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607898863339:adaf50ea-fcd5-4e06-abb9-3f793c7b5726,1607898863339:00254af3-78d9-4e74-a8ce-65260c56d97c
20,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""1""",Yes,1607898863338:1d60746b-6b6b-46b3-bdec-d3ec993da4f1,1607898863339:24b1155e-3e3b-4afc-b45b-4585eaf61a59
28,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607898863338:049808c6-3be3-4340-bf6f-45a6989b8fcd,1607898863338:1b612add-e4e3-41f8-b7d8-79e90d99b022
38,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607898863337:a7d10bd7-2065-4b6e-b6da-fc30a559680c,1607898863337:923f271e-ef17-4dc9-87d1-c1f13f90c853
235,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607898863329:aa79007f-feaf-4dc8-99e5-797d7f2fc599,1607898863329:1ce9902e-5f82-4f69-ab51-ed8138020cc7
631,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""3""",Yes,1607898863314:9fc6a263-7372-43b8-92bd-3eee129ec72a,1607898863314:d186b7f5-2597-4240-a49b-c811911dfa8e
1163,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""",Yes,1607898863293:108477f4-d57b-4a57-aba0-0ef7ff972502,1607898863293:d0ea1693-93e0-48b4-9dba-5f8e9a795b3f
1164,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607898863293:108477f4-d57b-4a57-aba0-0ef7ff972502,1607898863293:d0ea1693-93e0-48b4-9dba-5f8e9a795b3f
