,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
2603,1607884350636:88457691-406c-43d8-bf3a-9ee40262b8a5,1607884350636:db3aac69-1070-44fa-b3d1-0289f4a46b27,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2605,1607884350636:6efb360b-c138-44d0-80bb-6212f901c5b8,1607884350636:ecaf1385-5c77-4530-8c17-5c9eda3e09b3,0,True,EmptyObject,none,none,clear,clear,0,No
2606,1607884350636:6efb360b-c138-44d0-80bb-6212f901c5b8,1607884350636:ecaf1385-5c77-4530-8c17-5c9eda3e09b3,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2607,1607884350636:6efb360b-c138-44d0-80bb-6212f901c5b8,1607884350636:ecaf1385-5c77-4530-8c17-5c9eda3e09b3,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2609,1607884350635:77c81570-71a5-44f9-b270-ab353d2ea5bd,1607884350636:bc6b4edd-a5bb-4b8a-b26f-463e44eb40c3,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2611,1607884350635:77c81570-71a5-44f9-b270-ab353d2ea5bd,1607884350636:6343ae3d-5f92-4aef-b8f9-57b291a24c33,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2612,1607884350635:77c81570-71a5-44f9-b270-ab353d2ea5bd,1607884350636:6343ae3d-5f92-4aef-b8f9-57b291a24c33,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2615,1607884350635:77c81570-71a5-44f9-b270-ab353d2ea5bd,1607884350635:2667deca-d697-41a8-9fc8-153cb0586fae,0,True,EmptyObject,none,none,clear,clear,0,No
2616,1607884350635:77c81570-71a5-44f9-b270-ab353d2ea5bd,1607884350635:2667deca-d697-41a8-9fc8-153cb0586fae,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2617,1607884350635:77c81570-71a5-44f9-b270-ab353d2ea5bd,1607884350635:2667deca-d697-41a8-9fc8-153cb0586fae,0,True,EmptyObject,none,none,clear,clear,0,No
2619,1607884350635:6454d233-76a5-4eaa-8f2e-0212654272b7,1607884350635:be6e3a43-277d-45ea-aceb-010db7d76967,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2620,1607884350635:6454d233-76a5-4eaa-8f2e-0212654272b7,1607884350635:be6e3a43-277d-45ea-aceb-010db7d76967,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2622,1607884350635:5a128045-3a92-4ee4-91cc-19703b2ef38d,1607884350635:d5a197a2-0bc5-4d4a-acfd-ae8a3a089b95,0,True,EmptyObject,none,none,clear,clear,0,No
2623,1607884350635:5a128045-3a92-4ee4-91cc-19703b2ef38d,1607884350635:d5a197a2-0bc5-4d4a-acfd-ae8a3a089b95,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2624,1607884350635:5a128045-3a92-4ee4-91cc-19703b2ef38d,1607884350635:d5a197a2-0bc5-4d4a-acfd-ae8a3a089b95,0,True,EmptyObject,none,none,clear,clear,0,No
2625,1607884350635:5a128045-3a92-4ee4-91cc-19703b2ef38d,1607884350635:d5a197a2-0bc5-4d4a-acfd-ae8a3a089b95,0,True,EmptyObject,none,none,clear,clear,0,No
2626,1607884350635:5a128045-3a92-4ee4-91cc-19703b2ef38d,1607884350635:d5a197a2-0bc5-4d4a-acfd-ae8a3a089b95,0,True,EmptyObject,none,none,clear,clear,0,No
2628,1607884350635:5a128045-3a92-4ee4-91cc-19703b2ef38d,1607884350635:411c53ed-4cfb-4841-a364-63e138ac5c45,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2629,1607884350635:5a128045-3a92-4ee4-91cc-19703b2ef38d,1607884350635:411c53ed-4cfb-4841-a364-63e138ac5c45,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2631,1607884350635:3feb58f7-acba-4938-bcc5-5b6fe387e8cc,1607884350635:ff36d7a5-e603-42bc-a689-18e662716e35,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2634,1607884350635:3feb58f7-acba-4938-bcc5-5b6fe387e8cc,1607884350635:42a3a780-8e45-4847-b056-a45634e92c18,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2635,1607884350635:3feb58f7-acba-4938-bcc5-5b6fe387e8cc,1607884350635:42a3a780-8e45-4847-b056-a45634e92c18,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2637,1607884350635:212ea88c-098d-4e3f-9a29-0aa374e91621,1607884350635:4a565ad5-d57f-41a4-b795-eb726d21308d,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2638,1607884350635:212ea88c-098d-4e3f-9a29-0aa374e91621,1607884350635:4a565ad5-d57f-41a4-b795-eb726d21308d,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2640,1607884350634:f1228589-1bcb-4717-9a60-8b22b40d115a,1607884350634:e18ab846-4877-4b81-895b-335251c1144c,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2641,1607884350634:f1228589-1bcb-4717-9a60-8b22b40d115a,1607884350634:e18ab846-4877-4b81-895b-335251c1144c,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2643,1607884350634:f1228589-1bcb-4717-9a60-8b22b40d115a,1607884350634:c0e8f85b-02bc-40e4-a912-63065367bac8,0,True,EmptyObject,none,none,clear,clear,0,No
2644,1607884350634:f1228589-1bcb-4717-9a60-8b22b40d115a,1607884350634:c0e8f85b-02bc-40e4-a912-63065367bac8,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2645,1607884350634:f1228589-1bcb-4717-9a60-8b22b40d115a,1607884350634:c0e8f85b-02bc-40e4-a912-63065367bac8,0,True,EmptyObject,none,none,clear,clear,0,No
2646,1607884350634:f1228589-1bcb-4717-9a60-8b22b40d115a,1607884350634:c0e8f85b-02bc-40e4-a912-63065367bac8,0,True,EmptyObject,none,none,clear,clear,0,No
2647,1607884350634:f1228589-1bcb-4717-9a60-8b22b40d115a,1607884350634:c0e8f85b-02bc-40e4-a912-63065367bac8,0,True,EmptyObject,none,none,clear,clear,0,No
2649,1607884350634:a7cbecea-e603-4728-8404-f780cbd60cc8,1607884350634:c18afae7-3b09-4bb6-a4d5-fa8bb91fb3df,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2650,1607884350634:a7cbecea-e603-4728-8404-f780cbd60cc8,1607884350634:c18afae7-3b09-4bb6-a4d5-fa8bb91fb3df,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2652,1607884350634:a7cbecea-e603-4728-8404-f780cbd60cc8,1607884350634:8aa36124-7656-434a-92d2-225ea0181ead,0,True,EmptyObject,none,none,clear,clear,0,No
2653,1607884350634:a7cbecea-e603-4728-8404-f780cbd60cc8,1607884350634:8aa36124-7656-434a-92d2-225ea0181ead,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2654,1607884350634:a7cbecea-e603-4728-8404-f780cbd60cc8,1607884350634:8aa36124-7656-434a-92d2-225ea0181ead,0,True,EmptyObject,none,none,clear,clear,0,No
2656,1607884350634:9eb5fc60-bcc0-4251-8611-82f5c8b35478,1607884350634:0a6744d9-6b90-444d-8f37-384d833faa41,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2657,1607884350634:9eb5fc60-bcc0-4251-8611-82f5c8b35478,1607884350634:0a6744d9-6b90-444d-8f37-384d833faa41,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2659,1607884350634:64dccbc9-63e4-4cf3-82b0-edb79dea819c,1607884350635:93736e7b-8279-4a8e-8b57-266439f5b01f,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2660,1607884350634:64dccbc9-63e4-4cf3-82b0-edb79dea819c,1607884350635:93736e7b-8279-4a8e-8b57-266439f5b01f,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2662,1607884350634:64dccbc9-63e4-4cf3-82b0-edb79dea819c,1607884350634:e7281df9-59cd-4d4a-ad5a-bbed477ad181,0,True,EmptyObject,none,none,clear,clear,0,No
2663,1607884350634:64dccbc9-63e4-4cf3-82b0-edb79dea819c,1607884350634:e7281df9-59cd-4d4a-ad5a-bbed477ad181,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2664,1607884350634:64dccbc9-63e4-4cf3-82b0-edb79dea819c,1607884350634:e7281df9-59cd-4d4a-ad5a-bbed477ad181,0,True,EmptyObject,none,none,clear,clear,0,No
2665,1607884350634:64dccbc9-63e4-4cf3-82b0-edb79dea819c,1607884350634:e7281df9-59cd-4d4a-ad5a-bbed477ad181,0,True,EmptyObject,none,none,clear,clear,0,No
