,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
1357,1607937229801:1e9e87bf-4fac-4ae6-8a40-27fab387d359,1607937229801:ef3c709c-baf6-439f-bed5-96924879ece9,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1361,1607937229800:62924df2-b3c3-4d4c-8fb8-03708bc41f57,1607937229800:a5e1b1e0-146f-4f28-8d66-a6a6529095f2,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1368,1607937229799:f5e2eb11-c437-4850-95e0-9dcbc6ef1ace,1607937229799:16eb0b74-be87-463b-a158-ecb036f11bb4,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1370,1607937229799:e86ccab1-e044-4127-a4f2-c23d1a9b1a17,1607937229799:0421449f-cabe-4e41-855c-ecf5aa494e96,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1376,1607937229799:80136b21-506b-4d1c-9c6e-f951d0fcad1b,1607937229799:6f5e283d-48c8-4156-ac63-9c71c4828dc6,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1386,1607937229798:8becc5be-89be-4acf-904c-09e04b33f2a4,1607937229798:293b5637-8297-499a-81c5-e06ec072b675,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1389,1607937229798:518ec03b-d603-4a61-a942-1d7636505692,1607937229798:d80851aa-f429-448b-8702-c564df265ace,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1396,1607937229797:dd519c18-a9c0-47ae-bca0-d1392f70d0eb,1607937229797:bdd1fb9e-c48e-475c-bded-0970bbde4977,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1405,1607937229797:1e1f2f0a-c499-4da9-bb2d-1d1fdfb54128,1607937229797:20b2e36d-d181-4f0e-86e4-3720560a06a7,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1412,1607937229796:b63b156c-905c-486f-899c-f6da6b0495d1,1607937229796:32dfe253-ae2a-400a-83a6-cde7433bdb57,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1420,1607937229795:ac51be42-ea49-4ac5-8e30-acc6c386686c,1607937229795:f9bba5a5-f1fa-497a-ac63-9412fd62662f,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1427,1607937229795:17619e19-9e5f-4580-8611-e0c4144070d2,1607937229795:80918e06-e27d-4d75-82da-9299f7dc76f0,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1439,1607937229794:362937e8-6e93-4e3f-ae6a-ff520f415338,1607937229794:4e2f1bca-ba9b-4251-b345-ebc996acd98f,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1450,1607937229793:53cef3f9-5107-40a0-9567-728c84923e1d,1607937229793:8340a155-266d-4a24-9464-e68f1b54977a,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1476,1607937229790:ad13489c-a148-4d01-aa3b-e4bbc2d5a09b,1607937229790:ec789b65-2ca9-4b7e-9dab-bd73ab9e4e05,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1494,1607937229789:03df72e7-b0e3-4e40-bf21-9a7348719da6,1607937229789:fd4949b4-b367-4ac2-a82a-1a55a567aef5,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1502,1607937229788:9f03bd50-7fbb-4fe8-beb6-14f3c5972e74,1607937229788:1f0c733f-b6a4-4b5d-9214-1a9da042fed0,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1504,1607937229788:9a06988c-9669-497c-9a64-aac0a8c10e42,1607937229788:d73123f4-fb1e-46da-8337-8652d2b7f960,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1514,1607937229787:90ba8a39-6a03-4fe0-b40e-db626b2b7a30,1607937229787:6bf3e2f3-d746-4b3f-9d3d-748f1d2b5b55,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1519,1607937229787:2046ec74-59fe-488c-8870-6344cc9058b9,1607937229787:35867411-9159-4b0d-9936-c26934f92ea3,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1531,1607937229786:02603fbc-7f73-4b13-a053-a329e248a63e,1607937229786:543014de-0883-4472-b335-1573446204b8,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1535,1607937229785:955db868-63af-4486-8c96-dec4bb4d8b42,1607937229785:207c853e-6a71-4b32-a53f-8bdf97863a49,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1537,1607937229785:89c5f123-1d24-4330-ab41-2d00f9f264b0,1607937229785:14536639-a430-49c4-af0e-2c49efff2572,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1542,1607937229785:10953eed-2551-4986-ac0d-8df7ddb410fb,1607937229785:e8716c0d-6b22-4473-8223-38456576a11d,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1549,1607937229784:3d4cfc60-d602-4a3a-8396-63efd8ff6fef,1607937229784:3779487b-a6a0-400c-a6c2-b91d9a30be03,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1551,1607937229784:349df8c9-b823-4656-bd72-8a096600d740,1607937229784:4d8b2bf4-7f9d-47b9-a3e7-0caf8a5adfba,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1553,1607937229784:2fe1327e-0491-4815-b866-22a19fb4215e,1607937229784:5e7740b3-2e73-41b2-a290-34218b359b02,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1559,1607937229783:d0762761-f791-4e96-ac8b-d65568776652,1607937229783:55dcf68e-1396-480a-bc49-240a07c13e25,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1561,1607937229783:a412f3e2-a541-428c-bdd0-2fcb778d073e,1607937229783:77c1e2b6-9e85-4fba-9b83-615b3d408d49,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1564,1607937229783:a15d31a8-c5b9-4ced-bab9-56a8d2d5a314,1607937229783:05817e9a-331a-48bd-b3b0-df199c9f3a10,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
