,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
1,1607900359191:425870a2-e543-4370-9ffe-d0962588d5e5,1607900359191:9e2e173c-ffd5-4cf6-9f1f-1e54b1e14a12,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
2,1607900359191:425870a2-e543-4370-9ffe-d0962588d5e5,1607900359191:9e2e173c-ffd5-4cf6-9f1f-1e54b1e14a12,1,True,class java.lang.String,none,class java.lang.String,none,pop,1,Yes
4,1607900359191:38228343-e5f8-4e65-b8ca-dec66d58e71a,1607900359191:bd6f649d-f745-4add-8ab2-846fec8b9c76,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
5,1607900359191:38228343-e5f8-4e65-b8ca-dec66d58e71a,1607900359191:bd6f649d-f745-4add-8ab2-846fec8b9c76,1,True,class java.lang.String,none,class java.lang.String,none,pop,1,Yes
7,1607900359191:38228343-e5f8-4e65-b8ca-dec66d58e71a,1607900359191:87c169f0-0e89-469c-8cd3-4c35ddad9e2b,0,True,EmptyObject,none,none,clear,clear,0,No
8,1607900359191:38228343-e5f8-4e65-b8ca-dec66d58e71a,1607900359191:87c169f0-0e89-469c-8cd3-4c35ddad9e2b,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
9,1607900359191:38228343-e5f8-4e65-b8ca-dec66d58e71a,1607900359191:87c169f0-0e89-469c-8cd3-4c35ddad9e2b,1,True,class java.lang.String,none,none,clear,clear,1,Yes
10,1607900359191:38228343-e5f8-4e65-b8ca-dec66d58e71a,1607900359191:87c169f0-0e89-469c-8cd3-4c35ddad9e2b,1,True,class java.lang.String,none,none,clear,clear,1,Yes
11,1607900359191:38228343-e5f8-4e65-b8ca-dec66d58e71a,1607900359191:87c169f0-0e89-469c-8cd3-4c35ddad9e2b,1,True,class java.lang.String,none,none,clear,clear,1,Yes
13,1607900359191:2a2f3da5-6740-4f41-8ae9-87faca58e6ca,1607900359191:c0e21c93-2926-421a-93b3-a709fbf27dfe,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
14,1607900359191:2a2f3da5-6740-4f41-8ae9-87faca58e6ca,1607900359191:c0e21c93-2926-421a-93b3-a709fbf27dfe,1,True,class java.lang.String,none,class java.lang.String,none,pop,1,Yes
16,1607900359190:e2a23382-73be-43eb-bf79-1499ce14f48a,1607900359190:f93e01dc-9169-4304-b041-9b5c30ff3011,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
17,1607900359190:e2a23382-73be-43eb-bf79-1499ce14f48a,1607900359190:f93e01dc-9169-4304-b041-9b5c30ff3011,2,True,class java.lang.String,class java.lang.String,none,none,push,1,Yes
19,1607900359190:e2a23382-73be-43eb-bf79-1499ce14f48a,1607900359190:9f3f8f2b-7be8-47cd-a62f-a1513c80e62d,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
20,1607900359190:e2a23382-73be-43eb-bf79-1499ce14f48a,1607900359190:9f3f8f2b-7be8-47cd-a62f-a1513c80e62d,1,True,class java.lang.String,none,class java.lang.String,none,pop,1,Yes
22,1607900359190:d8c679b6-a598-409a-ab7f-2a16427959a5,1607900359190:bc3177e7-77c1-435a-9e66-19ee6473191d,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
23,1607900359190:d8c679b6-a598-409a-ab7f-2a16427959a5,1607900359190:bc3177e7-77c1-435a-9e66-19ee6473191d,1,True,class java.lang.String,none,class java.lang.String,none,pop,1,Yes
25,1607900359190:d8c679b6-a598-409a-ab7f-2a16427959a5,1607900359190:4c99852b-5097-4c1c-b702-ec4fb86231ee,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
27,1607900359190:d31bdca9-f0f3-4723-b7c2-997be62cf271,1607900359190:a04bf50b-2067-45d7-8ae4-be4b52e84ea9,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
28,1607900359190:d31bdca9-f0f3-4723-b7c2-997be62cf271,1607900359190:a04bf50b-2067-45d7-8ae4-be4b52e84ea9,1,True,class java.lang.String,none,class java.lang.String,none,pop,1,Yes
30,1607900359190:3d7cf062-2d07-421e-b311-ba419cc8959c,1607900359190:c4df1c94-c0cd-4716-9b21-a26969fd926c,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
31,1607900359190:3d7cf062-2d07-421e-b311-ba419cc8959c,1607900359190:c4df1c94-c0cd-4716-9b21-a26969fd926c,1,True,class java.lang.String,none,class java.lang.String,none,pop,1,Yes
33,1607900359190:3d7cf062-2d07-421e-b311-ba419cc8959c,1607900359190:ae630a61-515d-4a80-836e-9d5d70a28d70,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
34,1607900359190:3d7cf062-2d07-421e-b311-ba419cc8959c,1607900359190:ae630a61-515d-4a80-836e-9d5d70a28d70,2,True,class java.lang.String,class java.lang.String,none,none,push,1,Yes
35,1607900359190:3d7cf062-2d07-421e-b311-ba419cc8959c,1607900359190:ae630a61-515d-4a80-836e-9d5d70a28d70,3,True,class java.lang.String,class java.lang.String,none,none,push,2,Yes
37,1607900359190:21c38748-ee11-41e9-bfa8-59f7e107b57a,1607900359190:17e3eaad-6613-4672-b96f-06cd284cf65e,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
38,1607900359190:21c38748-ee11-41e9-bfa8-59f7e107b57a,1607900359190:17e3eaad-6613-4672-b96f-06cd284cf65e,1,True,class java.lang.String,none,class java.lang.String,none,pop,1,Yes
40,1607900359189:b8deae1d-04b8-4ed5-bb93-dace740f6795,1607900359189:d0689dd1-fe81-4420-ae68-d3c350133145,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
41,1607900359189:b8deae1d-04b8-4ed5-bb93-dace740f6795,1607900359189:d0689dd1-fe81-4420-ae68-d3c350133145,1,True,class java.lang.String,none,class java.lang.String,none,pop,1,Yes
43,1607900359189:af5579ad-2b7f-4078-96fa-31734c5d4f00,1607900359189:ec134d24-9195-4f52-83ca-8d96a4c01872,0,True,EmptyObject,none,none,clear,clear,0,No
44,1607900359189:af5579ad-2b7f-4078-96fa-31734c5d4f00,1607900359189:ec134d24-9195-4f52-83ca-8d96a4c01872,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
45,1607900359189:af5579ad-2b7f-4078-96fa-31734c5d4f00,1607900359189:ec134d24-9195-4f52-83ca-8d96a4c01872,1,True,class java.lang.String,none,class java.lang.String,none,pop,1,Yes
47,1607900359189:828f83db-2c4d-4823-bbf1-965e98b775d2,1607900359189:8894529c-54e7-4270-b9fb-a5d37d9f2968,0,True,EmptyObject,none,none,clear,clear,0,No
48,1607900359189:828f83db-2c4d-4823-bbf1-965e98b775d2,1607900359189:8894529c-54e7-4270-b9fb-a5d37d9f2968,1,True,class java.lang.String,class java.lang.String,none,none,push,0,Yes
49,1607900359189:828f83db-2c4d-4823-bbf1-965e98b775d2,1607900359189:8894529c-54e7-4270-b9fb-a5d37d9f2968,1,True,class java.lang.String,none,none,clear,clear,1,Yes
50,1607900359189:828f83db-2c4d-4823-bbf1-965e98b775d2,1607900359189:8894529c-54e7-4270-b9fb-a5d37d9f2968,1,True,class java.lang.String,none,none,clear,clear,1,Yes
51,1607900359189:828f83db-2c4d-4823-bbf1-965e98b775d2,1607900359189:8894529c-54e7-4270-b9fb-a5d37d9f2968,1,True,class java.lang.String,none,none,clear,clear,1,Yes
