,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
5804,1607938043497:802fd0e8-4dc3-4849-8ee8-08615fc955fe,1607938043497:f81057fb-4240-48e5-9d1b-b03f09155403,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5806,1607938043497:802fd0e8-4dc3-4849-8ee8-08615fc955fe,1607938043497:aec99ff4-d3e9-4431-9dac-30b3ec2fba55,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5809,1607938043497:671f46a6-fcf2-440b-9e6d-731bbbb83fb7,1607938043497:75210b0a-ca42-4c82-a44f-11a840734e73,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5813,1607938043497:671f46a6-fcf2-440b-9e6d-731bbbb83fb7,1607938043497:6eb40e39-8fdc-4ac6-9a4b-6b59750ddaf3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes
5818,1607938043497:5dbb48b6-04ef-4e3b-a892-771e11e3288e,1607938043497:9155ba33-4624-4ed6-b3c8-15ea4b3ae9d5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5820,1607938043497:5dbb48b6-04ef-4e3b-a892-771e11e3288e,1607938043497:069d0ef6-bc86-43c0-8fdf-6edfdddc4d91,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5823,1607938043497:41d9f63e-736e-483a-a682-c05a71984681,1607938043497:efc4a0dd-7406-48e5-91d0-2387b8d5c0f7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5826,1607938043497:41d9f63e-736e-483a-a682-c05a71984681,1607938043497:ee4ae636-daff-4c43-8e9c-45dd3874c32c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5828,1607938043497:3c264b8e-2ccf-4e33-a4f2-f9e8e50dfe4c,1607938043497:f985662a-6fae-4fe4-9f8c-bdd883bed936,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5831,1607938043497:3c264b8e-2ccf-4e33-a4f2-f9e8e50dfe4c,1607938043497:ddd9bb9a-6595-45b5-bd2e-aec628562cd1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
