,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
33,1607899088090:0577fbb0-a4b4-44c0-8e01-3f3fea5c8dec,1607899088090:c99981b1-371b-4b1b-91b8-50088d00d94c,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
34,1607899088090:0577fbb0-a4b4-44c0-8e01-3f3fea5c8dec,1607899088090:c99981b1-371b-4b1b-91b8-50088d00d94c,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""1""",Yes
35,1607899088090:0577fbb0-a4b4-44c0-8e01-3f3fea5c8dec,1607899088090:c99981b1-371b-4b1b-91b8-50088d00d94c,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""2""",Yes
37,1607899088090:0577fbb0-a4b4-44c0-8e01-3f3fea5c8dec,1607899088090:3e5070bf-bb41-4f94-9a39-b7daff8b71b9,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
38,1607899088090:0577fbb0-a4b4-44c0-8e01-3f3fea5c8dec,1607899088090:3e5070bf-bb41-4f94-9a39-b7daff8b71b9,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
40,1607899088089:fda2f733-d34a-4d58-bead-83e4609c4408,1607899088089:f89b1cbe-b50e-43f9-9b21-abcf4bbbad13,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
42,1607899088089:fda2f733-d34a-4d58-bead-83e4609c4408,1607899088089:99b8e1e0-d744-4b79-8c9e-dddc5f6f41b9,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
43,1607899088089:fda2f733-d34a-4d58-bead-83e4609c4408,1607899088089:99b8e1e0-d744-4b79-8c9e-dddc5f6f41b9,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
45,1607899088089:e34d484d-b124-4359-9296-96d2111f97ce,1607899088089:cabc66a6-76dd-4c2a-9e9d-4b5ccd189088,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
46,1607899088089:e34d484d-b124-4359-9296-96d2111f97ce,1607899088089:cabc66a6-76dd-4c2a-9e9d-4b5ccd189088,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
49,1607899088089:e34d484d-b124-4359-9296-96d2111f97ce,1607899088089:7d817bdf-38a9-4e90-8b5d-d4b47fd12939,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
50,1607899088089:e34d484d-b124-4359-9296-96d2111f97ce,1607899088089:7d817bdf-38a9-4e90-8b5d-d4b47fd12939,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
51,1607899088089:e34d484d-b124-4359-9296-96d2111f97ce,1607899088089:7d817bdf-38a9-4e90-8b5d-d4b47fd12939,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
52,1607899088089:e34d484d-b124-4359-9296-96d2111f97ce,1607899088089:7d817bdf-38a9-4e90-8b5d-d4b47fd12939,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
54,1607899088089:cc9ac91e-698a-45de-b2eb-eb81887b43f3,1607899088089:ec255c55-0f93-4069-b5e0-f27602dae0b0,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
