,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
1,1607898863339:adaf50ea-fcd5-4e06-abb9-3f793c7b5726,1607898863339:00254af3-78d9-4e74-a8ce-65260c56d97c,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
2,1607898863339:adaf50ea-fcd5-4e06-abb9-3f793c7b5726,1607898863339:00254af3-78d9-4e74-a8ce-65260c56d97c,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
4,1607898863339:84ad656e-d8bf-4d82-ae78-8410da2b5049,1607898863339:c444e9d2-b122-4ad1-b679-34cfb50b750b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
5,1607898863339:84ad656e-d8bf-4d82-ae78-8410da2b5049,1607898863339:c444e9d2-b122-4ad1-b679-34cfb50b750b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
7,1607898863338:d6fe6afd-df58-4728-8235-d0f124d7b541,1607898863338:c7abfdea-5644-4749-aa98-a87c0d3c8c07,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
8,1607898863338:d6fe6afd-df58-4728-8235-d0f124d7b541,1607898863338:c7abfdea-5644-4749-aa98-a87c0d3c8c07,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
10,1607898863338:d6fe6afd-df58-4728-8235-d0f124d7b541,1607898863338:b66c9309-825e-430f-b671-d61c2fd15597,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
12,1607898863338:7b80fbc5-e3c2-4e2f-a5ad-356f73fd89fd,1607898863338:3147f885-a3e8-44e9-bb61-53e3fac049ea,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
13,1607898863338:7b80fbc5-e3c2-4e2f-a5ad-356f73fd89fd,1607898863338:3147f885-a3e8-44e9-bb61-53e3fac049ea,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
15,1607898863338:1d60746b-6b6b-46b3-bdec-d3ec993da4f1,1607898863339:2c50b235-61fd-404d-a162-52767d1a8589,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
16,1607898863338:1d60746b-6b6b-46b3-bdec-d3ec993da4f1,1607898863339:2c50b235-61fd-404d-a162-52767d1a8589,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
19,1607898863338:1d60746b-6b6b-46b3-bdec-d3ec993da4f1,1607898863339:24b1155e-3e3b-4afc-b45b-4585eaf61a59,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
20,1607898863338:1d60746b-6b6b-46b3-bdec-d3ec993da4f1,1607898863339:24b1155e-3e3b-4afc-b45b-4585eaf61a59,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
21,1607898863338:1d60746b-6b6b-46b3-bdec-d3ec993da4f1,1607898863339:24b1155e-3e3b-4afc-b45b-4585eaf61a59,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
22,1607898863338:1d60746b-6b6b-46b3-bdec-d3ec993da4f1,1607898863339:24b1155e-3e3b-4afc-b45b-4585eaf61a59,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
24,1607898863338:049808c6-3be3-4340-bf6f-45a6989b8fcd,1607898863338:70098268-2ce2-4bba-80fa-2cecad503294,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
25,1607898863338:049808c6-3be3-4340-bf6f-45a6989b8fcd,1607898863338:70098268-2ce2-4bba-80fa-2cecad503294,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
27,1607898863338:049808c6-3be3-4340-bf6f-45a6989b8fcd,1607898863338:1b612add-e4e3-41f8-b7d8-79e90d99b022,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
28,1607898863338:049808c6-3be3-4340-bf6f-45a6989b8fcd,1607898863338:1b612add-e4e3-41f8-b7d8-79e90d99b022,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""1""",Yes
30,1607898863337:dd04e8a3-11c2-4254-8c91-bb0c62b5a86a,1607898863337:228e4cd1-f588-4fcd-9ad1-5412756f3813,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
31,1607898863337:dd04e8a3-11c2-4254-8c91-bb0c62b5a86a,1607898863337:228e4cd1-f588-4fcd-9ad1-5412756f3813,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
33,1607898863337:a7d10bd7-2065-4b6e-b6da-fc30a559680c,1607898863337:a81f522d-6936-49c4-b48f-cd228098a99b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
34,1607898863337:a7d10bd7-2065-4b6e-b6da-fc30a559680c,1607898863337:a81f522d-6936-49c4-b48f-cd228098a99b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
36,1607898863337:a7d10bd7-2065-4b6e-b6da-fc30a559680c,1607898863337:923f271e-ef17-4dc9-87d1-c1f13f90c853,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
37,1607898863337:a7d10bd7-2065-4b6e-b6da-fc30a559680c,1607898863337:923f271e-ef17-4dc9-87d1-c1f13f90c853,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""1""",Yes
38,1607898863337:a7d10bd7-2065-4b6e-b6da-fc30a559680c,1607898863337:923f271e-ef17-4dc9-87d1-c1f13f90c853,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""2""",Yes
