testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff
1607926247825:c79d61c2-c697-4276-903a-10935647a317,1607926248118:28820c3b-d36b-4c52-a7ca-d2eefdcfd725,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607926247825:c79d61c2-c697-4276-903a-10935647a317,1607926248118:28820c3b-d36b-4c52-a7ca-d2eefdcfd725,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes
1607926247825:c79d61c2-c697-4276-903a-10935647a317,1607926248118:28820c3b-d36b-4c52-a7ca-d2eefdcfd725,1,True,EmptyObject,class java.lang.String,pop,none,Yes
1607926248121:43fdbd73-85f8-4569-a91c-7cd22b8aa9e3,1607926248121:8ed4b9ba-1ac9-4680-aba8-ef99b2fc9657,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607926248121:43fdbd73-85f8-4569-a91c-7cd22b8aa9e3,1607926248121:8ed4b9ba-1ac9-4680-aba8-ef99b2fc9657,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes
1607926248121:43fdbd73-85f8-4569-a91c-7cd22b8aa9e3,1607926248121:8ed4b9ba-1ac9-4680-aba8-ef99b2fc9657,1,True,EmptyObject,class java.lang.String,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607926248122:f2b171ec-e147-477c-9f51-9472d0ead390,1607926248122:8d663f62-5cd4-4c91-b946-e3be486a6b69,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607926248122:f2b171ec-e147-477c-9f51-9472d0ead390,1607926248122:8d663f62-5cd4-4c91-b946-e3be486a6b69,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes
1607926248122:f2b171ec-e147-477c-9f51-9472d0ead390,1607926248122:8d663f62-5cd4-4c91-b946-e3be486a6b69,1,True,EmptyObject,class java.lang.String,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
1607926248122:a5d418b0-cdfc-4277-9ea0-c7d4334b7eb9,1607926248122:5d05a861-9df3-4d2b-8f74-2280199a1baf,0,True,EmptyObject,EmptyObject,CTOR,none,No
