testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828481:5bccd49f-ef6f-435b-a16b-b2d7442753cc,1607925828481:2107d8c3-50c8-4c29-ae00-d6d9eea7b193,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828481:5bccd49f-ef6f-435b-a16b-b2d7442753cc,1607925828481:2107d8c3-50c8-4c29-ae00-d6d9eea7b193,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828481:5bccd49f-ef6f-435b-a16b-b2d7442753cc,1607925828481:2107d8c3-50c8-4c29-ae00-d6d9eea7b193,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828481:5bccd49f-ef6f-435b-a16b-b2d7442753cc,1607925828481:6795e8f0-8c30-4731-9eb1-828daf8dc967,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828481:5bccd49f-ef6f-435b-a16b-b2d7442753cc,1607925828481:6795e8f0-8c30-4731-9eb1-828daf8dc967,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828481:5bccd49f-ef6f-435b-a16b-b2d7442753cc,1607925828481:6795e8f0-8c30-4731-9eb1-828daf8dc967,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828481:4498351c-c766-4b47-8e82-0b21211c7c7a,1607925828481:4cac4bb1-f837-4486-80bd-035e93fe1999,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828481:4498351c-c766-4b47-8e82-0b21211c7c7a,1607925828481:4cac4bb1-f837-4486-80bd-035e93fe1999,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828481:4498351c-c766-4b47-8e82-0b21211c7c7a,1607925828481:4cac4bb1-f837-4486-80bd-035e93fe1999,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828481:180acda0-cf59-4629-82b4-8c70bc7e0ac2,1607925828481:ee3f10c9-1937-4c43-8a48-888465c50209,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828481:180acda0-cf59-4629-82b4-8c70bc7e0ac2,1607925828481:ee3f10c9-1937-4c43-8a48-888465c50209,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828481:180acda0-cf59-4629-82b4-8c70bc7e0ac2,1607925828481:00fdfd40-b85e-46e0-a404-0e5f62996e32,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828481:180acda0-cf59-4629-82b4-8c70bc7e0ac2,1607925828481:00fdfd40-b85e-46e0-a404-0e5f62996e32,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828481:180acda0-cf59-4629-82b4-8c70bc7e0ac2,1607925828481:00fdfd40-b85e-46e0-a404-0e5f62996e32,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
