testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff
1607925279767:48387109-6566-45b4-ab80-82a9b65270fc,1607925280261:a8f7e789-1060-4dca-86bd-d9d0d3ccde06,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925279767:48387109-6566-45b4-ab80-82a9b65270fc,1607925280261:a8f7e789-1060-4dca-86bd-d9d0d3ccde06,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes
1607925279767:48387109-6566-45b4-ab80-82a9b65270fc,1607925280261:a8f7e789-1060-4dca-86bd-d9d0d3ccde06,1,True,EmptyObject,class java.lang.String,pop,none,Yes
1607925280265:5d74d2c5-e70a-40d9-9f18-d35b0cf90b28,1607925280265:796f81a6-ef9d-4888-b27e-937ea7292e7d,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925280265:5d74d2c5-e70a-40d9-9f18-d35b0cf90b28,1607925280265:796f81a6-ef9d-4888-b27e-937ea7292e7d,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes
1607925280265:5d74d2c5-e70a-40d9-9f18-d35b0cf90b28,1607925280265:796f81a6-ef9d-4888-b27e-937ea7292e7d,1,True,EmptyObject,class java.lang.String,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925280266:0219d050-52e3-415c-b265-130fc1d7985e,1607925280266:d484e639-a510-4730-976b-8d46b03454b2,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925280266:0219d050-52e3-415c-b265-130fc1d7985e,1607925280266:d484e639-a510-4730-976b-8d46b03454b2,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes
1607925280266:0219d050-52e3-415c-b265-130fc1d7985e,1607925280266:d484e639-a510-4730-976b-8d46b03454b2,1,True,EmptyObject,class java.lang.String,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
1607925280266:3ef9a3a7-9431-4bc2-8c3a-96470a452f51,1607925280267:33bdc1b3-fb07-4e4d-9d5d-6a2a8d93fa4e,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925280266:3ef9a3a7-9431-4bc2-8c3a-96470a452f51,1607925280267:33bdc1b3-fb07-4e4d-9d5d-6a2a8d93fa4e,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes
1607925280266:3ef9a3a7-9431-4bc2-8c3a-96470a452f51,1607925280267:33bdc1b3-fb07-4e4d-9d5d-6a2a8d93fa4e,1,True,EmptyObject,class java.lang.String,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
1607925280267:df35af05-af86-420f-bfa7-4c4d6da62150,1607925280267:542e83b3-c1c0-4e44-9703-e06de00d3e48,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925280267:df35af05-af86-420f-bfa7-4c4d6da62150,1607925280267:542e83b3-c1c0-4e44-9703-e06de00d3e48,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes
1607925280267:df35af05-af86-420f-bfa7-4c4d6da62150,1607925280267:542e83b3-c1c0-4e44-9703-e06de00d3e48,1,True,EmptyObject,class java.lang.String,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925280268:3778b5de-434b-4cdd-a804-be701c7ac438,1607925280268:0f8e9edb-1b8a-4706-9da5-80cd3fd7beb7,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925280268:3778b5de-434b-4cdd-a804-be701c7ac438,1607925280268:0f8e9edb-1b8a-4706-9da5-80cd3fd7beb7,0,True,EmptyObject,EmptyObject,clear,none,No
1607925280268:3778b5de-434b-4cdd-a804-be701c7ac438,1607925280268:0f8e9edb-1b8a-4706-9da5-80cd3fd7beb7,0,True,EmptyObject,EmptyObject,pop,none,No
1607925280268:9c201809-7075-4580-bbdf-a25b6036900a,1607925280268:ff82b6e3-a541-4324-a9f9-83527f8f603e,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925280268:9c201809-7075-4580-bbdf-a25b6036900a,1607925280268:ff82b6e3-a541-4324-a9f9-83527f8f603e,0,True,EmptyObject,EmptyObject,clear,none,No
1607925280268:9c201809-7075-4580-bbdf-a25b6036900a,1607925280268:ff82b6e3-a541-4324-a9f9-83527f8f603e,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes
1607925280269:c5312c22-f49d-46d8-8c7b-b806bc1c0df5,1607925280269:1725241c-5baf-4a88-b363-fc97a9655476,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925280269:c5312c22-f49d-46d8-8c7b-b806bc1c0df5,1607925280269:1725241c-5baf-4a88-b363-fc97a9655476,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes
1607925280269:c5312c22-f49d-46d8-8c7b-b806bc1c0df5,1607925280269:1725241c-5baf-4a88-b363-fc97a9655476,1,True,EmptyObject,class java.lang.String,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
