,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
8711,1607900029209:f1166e81-97e5-4898-88a1-4ae7fa8f6873,1607900029209:f18ffe98-643b-4ec7-9eea-792d18d1eed4,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8713,1607900029209:e63e6cd7-cf8c-4078-833e-b7c1f40f43e5,1607900029209:7603ce83-fa06-4cbb-97dc-567004669550,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8714,1607900029209:e63e6cd7-cf8c-4078-833e-b7c1f40f43e5,1607900029209:7603ce83-fa06-4cbb-97dc-567004669550,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
8716,1607900029209:e63e6cd7-cf8c-4078-833e-b7c1f40f43e5,1607900029209:5e6b04b6-47b2-4caf-87ce-600e539798e1,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8719,1607900029209:24e021dc-4090-40c0-ab3e-560db341399b,1607900029209:c8c49ddc-7a9b-4a41-8a55-999bb981fd75,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes
8720,1607900029209:24e021dc-4090-40c0-ab3e-560db341399b,1607900029209:c8c49ddc-7a9b-4a41-8a55-999bb981fd75,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""clear""",Yes
8721,1607900029209:24e021dc-4090-40c0-ab3e-560db341399b,1607900029209:c8c49ddc-7a9b-4a41-8a55-999bb981fd75,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes
8722,1607900029209:24e021dc-4090-40c0-ab3e-560db341399b,1607900029209:c8c49ddc-7a9b-4a41-8a55-999bb981fd75,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes
8724,1607900029209:24e021dc-4090-40c0-ab3e-560db341399b,1607900029209:561dd361-b2cd-4426-a37d-b0cb95e27f53,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8725,1607900029209:24e021dc-4090-40c0-ab3e-560db341399b,1607900029209:561dd361-b2cd-4426-a37d-b0cb95e27f53,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
8728,1607900029209:0de86329-10e8-4df0-9c94-c7d7a0265685,1607900029209:d9c28059-35e0-493a-aec6-557fc7c6c04d,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes
8729,1607900029209:0de86329-10e8-4df0-9c94-c7d7a0265685,1607900029209:d9c28059-35e0-493a-aec6-557fc7c6c04d,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""clear""",Yes
