,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes,1607900359191:425870a2-e543-4370-9ffe-d0962588d5e5,1607900359191:9e2e173c-ffd5-4cf6-9f1f-1e54b1e14a12
2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes,1607900359191:425870a2-e543-4370-9ffe-d0962588d5e5,1607900359191:9e2e173c-ffd5-4cf6-9f1f-1e54b1e14a12
9,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""1""",Yes,1607900359191:38228343-e5f8-4e65-b8ca-dec66d58e71a,1607900359191:87c169f0-0e89-469c-8cd3-4c35ddad9e2b
17,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""1""",Yes,1607900359190:e2a23382-73be-43eb-bf79-1499ce14f48a,1607900359190:f93e01dc-9169-4304-b041-9b5c30ff3011
35,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""2""",Yes,1607900359190:3d7cf062-2d07-421e-b311-ba419cc8959c,1607900359190:ae630a61-515d-4a80-836e-9d5d70a28d70
257,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""3""",Yes,1607900359180:ab7884c9-b4b6-4196-9338-9a0138a0e059,1607900359180:711d40fc-50c5-4f12-a3cb-1eddc345b07c
633,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""3""",Yes,1607900359165:a2a53245-3a5b-4efc-bcbf-ac73e7f25102,1607900359165:7d609662-d68f-4bb7-8806-dda064d2af4e
1148,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""2""",Yes,1607900359151:839de4ea-ac62-41c1-b225-105e4e883bb0,1607900359151:62a4fca1-0e4b-4495-b558-8231dc388c58
1149,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""2""",Yes,1607900359151:839de4ea-ac62-41c1-b225-105e4e883bb0,1607900359151:62a4fca1-0e4b-4495-b558-8231dc388c58
