,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes,1607900477029:b08f5656-55df-4423-891a-b9023b8c695e,1607900477029:d7fde635-b12f-458a-a4bf-fc59300c9a00
2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes,1607900477029:b08f5656-55df-4423-891a-b9023b8c695e,1607900477029:d7fde635-b12f-458a-a4bf-fc59300c9a00
6,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""1""",Yes,1607900477029:b08f5656-55df-4423-891a-b9023b8c695e,1607900477029:9e5f2d4b-4b54-4234-8846-428c385e7b41
20,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""1""",Yes,1607900477029:7a5856cc-ccbd-4e94-9300-ec9e84ce67f7,1607900477029:1046850e-1b5b-46b5-85eb-9cb5e3ca9955
68,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""2""",Yes,1607900477028:06f5a186-30a4-4b57-a7d2-8f22e0d30ae5,1607900477028:0ec15ae6-ce50-4d8a-97c9-d6a007778956
238,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""3""",Yes,1607900477022:9a684205-cc83-483f-a7be-15f5e03134c6,1607900477022:166d4a89-d254-4c6c-a5bc-d8d0bfb7f599
595,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""3""",Yes,1607900477011:fc89eca6-a1d0-4136-982d-f1b988f506a8,1607900477011:9356c8f4-d090-46df-81ef-f9bcf11974db
1148,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""2""",Yes,1607900476996:90241c15-30be-444c-977c-79d5dc1ef577,1607900476996:73691ebe-a355-492b-a941-d89612dbb280
1149,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""2""",Yes,1607900476996:90241c15-30be-444c-977c-79d5dc1ef577,1607900476996:73691ebe-a355-492b-a941-d89612dbb280
