,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""0""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
5,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""1""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
6,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""2""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
7,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""3""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
8,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""2""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
11,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""1""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
51,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""3""",Yes,1607898802332:c2de06f0-116a-47b6-93a8-1e7b434509f8,1607898802332:71af483e-740c-426e-b559-00a2e73bca0a
52,"size == ""5""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""4""",Yes,1607898802332:c2de06f0-116a-47b6-93a8-1e7b434509f8,1607898802332:71af483e-740c-426e-b559-00a2e73bca0a
53,"size == ""5""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""5""",Yes,1607898802332:c2de06f0-116a-47b6-93a8-1e7b434509f8,1607898802332:71af483e-740c-426e-b559-00a2e73bca0a
56,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""5""",Yes,1607898802332:c2de06f0-116a-47b6-93a8-1e7b434509f8,1607898802332:71af483e-740c-426e-b559-00a2e73bca0a
61,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""3""",Yes,1607898802332:c2de06f0-116a-47b6-93a8-1e7b434509f8,1607898802332:67f95023-672b-4fbf-98b0-f4828f9aed6d
113,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""4""",Yes,1607898802331:38a4c151-9a5e-4492-b7c8-80bc5fe3321e,1607898802331:f6eca8ab-1558-4592-9590-e2a31b574b21
269,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""2""",Yes,1607898802329:1da41a2d-f74f-4dc9-82ad-c2f135dc6ffa,1607898802329:f325dc91-2630-4de6-ad46-4448333313a9
355,"size == ""6""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""5""",Yes,1607898802327:6f75e12b-29e6-4290-8038-66e1d971d9ac,1607898802327:6836075d-ebc7-4a39-8790-9087ab15430c
356,"size == ""5""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""6""",Yes,1607898802327:6f75e12b-29e6-4290-8038-66e1d971d9ac,1607898802327:6836075d-ebc7-4a39-8790-9087ab15430c
1167,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""4""",Yes,1607898802313:065f745c-a9a0-4935-9d3b-01f5d488a175,1607898802313:b54bfdb4-2a58-4a28-ab4c-27304c6d80e3
1687,"size == ""6""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""6""",Yes,1607898802307:d009d015-397e-43c9-af28-179248d7482e,1607898802307:e8af200b-2bd5-4385-92c5-92ad767a4aeb
