,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,diff
1,1607899296554:9a78eafe-75bd-41f0-8595-183e382b2905,1607899296554:e6cfbc19-42bd-4fa9-9a7d-a65b91996cc1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
2,1607899296554:9a78eafe-75bd-41f0-8595-183e382b2905,1607899296554:e6cfbc19-42bd-4fa9-9a7d-a65b91996cc1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""True""","clear == ""False""",No
4,1607899296554:20c8c145-a09f-4ca5-993b-c635493d4791,1607899296554:309fd6a6-b344-44fc-8ab4-37651376d974,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
5,1607899296554:20c8c145-a09f-4ca5-993b-c635493d4791,1607899296554:309fd6a6-b344-44fc-8ab4-37651376d974,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""True""","clear == ""False""",No
7,1607899296553:ed746d13-b050-48e8-8cc0-ce502939856d,1607899296553:059f35c6-2d66-4eff-8253-7953dd0a9f51,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
8,1607899296553:ed746d13-b050-48e8-8cc0-ce502939856d,1607899296553:059f35c6-2d66-4eff-8253-7953dd0a9f51,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""True""","clear == ""False""",No
10,1607899296553:a1442120-48e9-4689-887c-5b0f7423cbc1,1607899296553:fc48ad2d-eecb-42e8-9cf8-6a88ce31169e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
11,1607899296553:a1442120-48e9-4689-887c-5b0f7423cbc1,1607899296553:fc48ad2d-eecb-42e8-9cf8-6a88ce31169e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""True""","clear == ""False""",No
13,1607899296553:86b8d84f-6437-47ee-a90f-f0d782781a1b,1607899296553:e07a80ca-1e1e-4247-a005-52325233c4bc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
15,1607899296553:86b8d84f-6437-47ee-a90f-f0d782781a1b,1607899296553:2448e35c-c63c-49c4-8e2b-32d1893bdbce,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
16,1607899296553:86b8d84f-6437-47ee-a90f-f0d782781a1b,1607899296553:2448e35c-c63c-49c4-8e2b-32d1893bdbce,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""True""","clear == ""False""",No
18,1607899296553:763116be-f5b7-4fa0-866e-ca114187fa2a,1607899296554:071f03a7-4121-4b05-adeb-f550387574bf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
19,1607899296553:763116be-f5b7-4fa0-866e-ca114187fa2a,1607899296554:071f03a7-4121-4b05-adeb-f550387574bf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""True""","clear == ""False""",No
21,1607899296553:763116be-f5b7-4fa0-866e-ca114187fa2a,1607899296553:a10e3410-1617-4c51-bad8-315860fb6d9f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""",No
22,1607899296553:763116be-f5b7-4fa0-866e-ca114187fa2a,1607899296553:a10e3410-1617-4c51-bad8-315860fb6d9f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
23,1607899296553:763116be-f5b7-4fa0-866e-ca114187fa2a,1607899296553:a10e3410-1617-4c51-bad8-315860fb6d9f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""",No
24,1607899296553:763116be-f5b7-4fa0-866e-ca114187fa2a,1607899296553:a10e3410-1617-4c51-bad8-315860fb6d9f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""",No
25,1607899296553:763116be-f5b7-4fa0-866e-ca114187fa2a,1607899296553:a10e3410-1617-4c51-bad8-315860fb6d9f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""",No
27,1607899296553:09942ab5-c555-469e-9ae4-62bcb9221f29,1607899296553:e70c5e63-e820-4400-bbf1-97cde0b19393,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
28,1607899296553:09942ab5-c555-469e-9ae4-62bcb9221f29,1607899296553:e70c5e63-e820-4400-bbf1-97cde0b19393,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
30,1607899296553:09942ab5-c555-469e-9ae4-62bcb9221f29,1607899296553:b637cc88-bbc8-42ee-983d-32e9c55ee180,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""",Yes
31,1607899296553:09942ab5-c555-469e-9ae4-62bcb9221f29,1607899296553:b637cc88-bbc8-42ee-983d-32e9c55ee180,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""True""","clear == ""False""",No
33,1607899296552:d4f14237-2fe0-4428-b33f-39480fadbb23,1607899296552:883a60eb-2947-4bc1-9395-012387f4c2a7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""",No
