,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
4588,1604916242480:a2e4cb9d-411a-467f-a036-c1d666e5860f,1604916242480:8c2e3ebe-ed34-42c1-9b8e-f0ffead212c8,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4590,1604916242480:138990f8-a015-4668-aa30-c57755254980,1604916242480:819ab285-be5c-402b-b81a-7d7cc669f3ed,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4591,1604916242480:138990f8-a015-4668-aa30-c57755254980,1604916242480:819ab285-be5c-402b-b81a-7d7cc669f3ed,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4593,1604916242480:0ef5866b-6f23-4c7b-b8ba-1178193fa5e3,1604916242480:60378574-b923-434a-b026-4ec78b1eea33,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4594,1604916242480:0ef5866b-6f23-4c7b-b8ba-1178193fa5e3,1604916242480:60378574-b923-434a-b026-4ec78b1eea33,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4596,1604916242479:c629fca5-a1da-4f18-b74f-f65a1f8b7f36,1604916242479:3b75cf4d-8d6d-44a6-9e0d-658b0de197e1,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4597,1604916242479:c629fca5-a1da-4f18-b74f-f65a1f8b7f36,1604916242479:3b75cf4d-8d6d-44a6-9e0d-658b0de197e1,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4599,1604916242479:a9ef14af-016c-4900-b9ef-e004bb962d30,1604916242479:a90d2be6-0cde-4f5b-8935-4ef94bbb7c98,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4601,1604916242479:a9ef14af-016c-4900-b9ef-e004bb962d30,1604916242479:3011923d-6a59-4de6-8b47-dc85d80c5bc5,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4602,1604916242479:a9ef14af-016c-4900-b9ef-e004bb962d30,1604916242479:3011923d-6a59-4de6-8b47-dc85d80c5bc5,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
