,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
2838,1607899410117:10d9aa3c-9f8e-47c0-b40a-11e3b50b6432,1607899410117:aefd6c49-18f6-4596-8fc4-a4b36c7d5f66,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
2839,1607899410117:10d9aa3c-9f8e-47c0-b40a-11e3b50b6432,1607899410117:aefd6c49-18f6-4596-8fc4-a4b36c7d5f66,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
2841,1607899410116:9d95e551-7e62-495f-84bf-41a48f519f70,1607899410117:3dcc34b8-66be-4eff-82ba-5333c1fd515b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
2842,1607899410116:9d95e551-7e62-495f-84bf-41a48f519f70,1607899410117:3dcc34b8-66be-4eff-82ba-5333c1fd515b,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
2843,1607899410116:9d95e551-7e62-495f-84bf-41a48f519f70,1607899410117:3dcc34b8-66be-4eff-82ba-5333c1fd515b,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2845,1607899410116:9d95e551-7e62-495f-84bf-41a48f519f70,1607899410116:147b689e-c983-49b4-af2f-e9f4cd63ec58,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2846,1607899410116:9d95e551-7e62-495f-84bf-41a48f519f70,1607899410116:147b689e-c983-49b4-af2f-e9f4cd63ec58,"size == ""102""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2847,1607899410116:9d95e551-7e62-495f-84bf-41a48f519f70,1607899410116:147b689e-c983-49b4-af2f-e9f4cd63ec58,"size == ""103""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2849,1607899410116:3cdcfb77-9fbe-4087-9f0f-2cd99338c9d1,1607899410116:98d07f2b-456c-46f8-ba8c-ecc181a6f7fd,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2850,1607899410116:3cdcfb77-9fbe-4087-9f0f-2cd99338c9d1,1607899410116:98d07f2b-456c-46f8-ba8c-ecc181a6f7fd,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2852,1607899410116:170e37dc-f5fd-4da8-906f-61181910c768,1607899410116:88da1a3c-bfb3-43cb-8eae-136c334a179a,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2853,1607899410116:170e37dc-f5fd-4da8-906f-61181910c768,1607899410116:88da1a3c-bfb3-43cb-8eae-136c334a179a,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2855,1607899410116:14e3f611-4465-4fd5-9231-89b4092c82ee,1607899410116:e67a940a-d1a5-453d-872e-a9827d0ecede,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2856,1607899410116:14e3f611-4465-4fd5-9231-89b4092c82ee,1607899410116:e67a940a-d1a5-453d-872e-a9827d0ecede,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2858,1607899410115:a8317e11-417c-4fc1-8a1c-aaea21c0115f,1607899410115:e26cf5c2-f30a-4683-b227-b23482c45974,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2860,1607899410115:a8317e11-417c-4fc1-8a1c-aaea21c0115f,1607899410115:0dc640c1-cf14-478f-bc04-b89ca952e6a7,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2861,1607899410115:a8317e11-417c-4fc1-8a1c-aaea21c0115f,1607899410115:0dc640c1-cf14-478f-bc04-b89ca952e6a7,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2863,1607899410115:5ed310f6-ce5d-41bc-941b-dd80564fe30d,1607899410115:b49aa216-1848-4b5c-a658-f3cc5d3af388,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2865,1607899410115:5ed310f6-ce5d-41bc-941b-dd80564fe30d,1607899410115:2f2011ec-b0e8-4fd7-8ac3-6385030b5bf3,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2866,1607899410115:5ed310f6-ce5d-41bc-941b-dd80564fe30d,1607899410115:2f2011ec-b0e8-4fd7-8ac3-6385030b5bf3,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2868,1607899410115:451960b0-355e-4666-bd23-461ce67ce56b,1607899410115:2d7c4baa-5d41-4e27-a457-9a0658a0daf4,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2869,1607899410115:451960b0-355e-4666-bd23-461ce67ce56b,1607899410115:2d7c4baa-5d41-4e27-a457-9a0658a0daf4,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2871,1607899410115:451960b0-355e-4666-bd23-461ce67ce56b,1607899410115:0180d7a1-bb39-4061-b8c3-27dfe881c7bf,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2872,1607899410115:451960b0-355e-4666-bd23-461ce67ce56b,1607899410115:0180d7a1-bb39-4061-b8c3-27dfe881c7bf,"size == ""102""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
