,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff,testId,instanceId
9437,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""pop""",Yes,1607947981473:df92c9e3-4a22-47b4-889c-dd6ad985adc2,1607947981473:852a55a7-5f2b-4bb2-9bd2-123f532d972a
9774,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""none""","pop == ""class java.lang.Short""","clear == ""none""","size_p == ""8""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""class experiment.drivers.AlejaStackTestDriver""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981470:6af3e78f-dd6f-423e-90ca-7b665166fcb2,1607947981470:935cd9be-517e-42b2-9e63-9823f0a1b0ce
9775,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""","size_p == ""7""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","push_p == ""none""","pop_p == ""class java.lang.Short""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981470:6af3e78f-dd6f-423e-90ca-7b665166fcb2,1607947981470:935cd9be-517e-42b2-9e63-9823f0a1b0ce
9873,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""class experiment.drivers.AlejaStackTestDriver""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981469:83293536-340d-4ff8-86d1-a6004b9c1315,1607947981469:89f0f9f4-1350-44aa-ac5e-0c78952d927c
9874,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""none""","pop_p == ""class experiment.drivers.AlejaStackTestDriver""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981469:83293536-340d-4ff8-86d1-a6004b9c1315,1607947981469:89f0f9f4-1350-44aa-ac5e-0c78952d927c
9943,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""none""","pop == ""class java.lang.Integer""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""none""","pop_p == ""class experiment.drivers.AlejaStackTestDriver""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981468:daf2e231-7aeb-4136-9a30-b87eece92ce5,1607947981468:bad946aa-e076-4d99-964b-b39fe1fb434e
10237,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""9""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""class java.lang.Class""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981466:5dcb3455-2647-40e9-a90c-4ece491316db,1607947981466:f884a1e7-00b3-47a2-91b3-fb05cd632fc0
10238,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""8""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""class java.lang.String""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981466:5dcb3455-2647-40e9-a90c-4ece491316db,1607947981466:f884a1e7-00b3-47a2-91b3-fb05cd632fc0
10359,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""","size_p == ""6""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""pop""",Yes,1607947981465:054e53f6-2e9f-4eeb-b3f3-1ddb07d263db,1607947981466:d9ce0bc0-78c3-4e5f-9adb-4b92202ab5ad
10737,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","push_p == ""class java.lang.Boolean""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607947981462:d3d2f7e3-0ac2-49eb-bf25-10ad4987482b,1607947981462:36107578-8e83-4f45-9ec5-568374d069c7
