,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
4,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
5,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
6,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
7,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
8,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
9,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
10,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
11,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""clear""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
12,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes,1607898802333:c5399d65-d4c2-46cf-a284-8644d27015e3,1607898802333:c3e42cab-420b-4f89-abf9-d26ce0e6a07e
