,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff,testId,instanceId
86,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:f9948558-f373-47ed-9383-45f0cb4010bc
100,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:5b305760-c8f6-4c1a-8c25-247309edd21f
101,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:5b305760-c8f6-4c1a-8c25-247309edd21f
106,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:52350e89-308d-455b-a1ee-1040eacfb1ee
114,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:401a9dd7-c965-411d-b1a0-105cd5923691
115,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:401a9dd7-c965-411d-b1a0-105cd5923691
142,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687720:7ca550f3-666e-452a-b191-e6cdde47f8f9,1607893687720:c5ed6609-85fb-449b-85e2-a30be9a9c720
167,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""103""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687720:00756e20-d2bd-4360-b71a-210c6f78233f,1607893687720:d113ee30-ae21-4ea1-b2e1-bf5faab72ca0
168,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687720:00756e20-d2bd-4360-b71a-210c6f78233f,1607893687720:d113ee30-ae21-4ea1-b2e1-bf5faab72ca0
182,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687720:00756e20-d2bd-4360-b71a-210c6f78233f,1607893687720:4cda0794-e54f-495e-9b81-9ea67a0162ff
183,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687720:00756e20-d2bd-4360-b71a-210c6f78233f,1607893687720:4cda0794-e54f-495e-9b81-9ea67a0162ff
194,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687720:00756e20-d2bd-4360-b71a-210c6f78233f,1607893687720:2a218f16-01d2-4d7d-96bb-ace6ee9e1b7d
203,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687719:f59a58a9-f182-4bec-9ed5-444ac697534c,1607893687719:e2a834de-5dcc-4bf3-bea0-90d47d1a7f96
204,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687719:f59a58a9-f182-4bec-9ed5-444ac697534c,1607893687719:e2a834de-5dcc-4bf3-bea0-90d47d1a7f96
210,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687719:f59a58a9-f182-4bec-9ed5-444ac697534c,1607893687719:16852ee9-e419-43b6-834a-725b0f0a0eff
272,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:7d117542-dc60-4d7a-b811-6d6122fd04e1
300,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
301,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""104""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
302,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""104""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
305,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
306,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
319,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687718:6fabd49a-c1b9-4bc6-a216-8a4841528e90,1607893687718:ac5fead4-04b4-4b11-9131-ebabf322ef88
370,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""104""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687717:5b60a8f2-88ae-4986-b90d-96da3443e46d,1607893687718:b366964e-7754-49aa-8360-58b03388d76b
371,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""104""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687717:5b60a8f2-88ae-4986-b90d-96da3443e46d,1607893687718:b366964e-7754-49aa-8360-58b03388d76b
386,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes,1607893687717:5b60a8f2-88ae-4986-b90d-96da3443e46d,1607893687718:a40a41de-c3a8-4d95-8e6d-056b01da9c28
416,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687717:5b60a8f2-88ae-4986-b90d-96da3443e46d,1607893687717:1710929d-286c-4f46-8a3d-27d3e7c09d3d
450,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687716:3d574921-b336-4edc-b82c-3d96564135f1,1607893687716:e7886548-029a-4f38-8ca7-f075c013601f
