,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff,testId,instanceId
1,"size == ""9""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607899481112:6b3a7732-dcb6-476d-8b8d-3f26a9f4c36e,1607899481112:8035f6ea-993e-4e3d-8bc1-f999ff62a153
2,"size == ""9""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607899481112:6b3a7732-dcb6-476d-8b8d-3f26a9f4c36e,1607899481112:8035f6ea-993e-4e3d-8bc1-f999ff62a153
11,"size == ""9""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607899481111:bd97e9f2-5eb7-4093-95bd-c41b6e78802b,1607899481111:0a2e198d-0b65-4623-9e3f-40ed8e475612
27,"size == ""9""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes,1607899481111:a99b7913-527d-48de-9c86-ed62b60c030c,1607899481111:bc01d14d-2eab-417b-b2d3-4de23ce91b9e
28,"size == ""9""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""9""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""clear""",Yes,1607899481111:a99b7913-527d-48de-9c86-ed62b60c030c,1607899481111:bc01d14d-2eab-417b-b2d3-4de23ce91b9e
29,"size == ""9""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""9""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes,1607899481111:a99b7913-527d-48de-9c86-ed62b60c030c,1607899481111:bc01d14d-2eab-417b-b2d3-4de23ce91b9e
1115,"size == ""9""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""pop""",Yes,1607899481071:da7f9c7e-1049-4615-bc85-0ca916b2bdd0,1607899481071:614a1c72-8530-4715-838d-1fd285ec4551
