,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
1,1607896000029:d2a72227-2a1d-45e5-87f3-575d7d04ff30,1607896000029:5d190e40-fe07-4990-b4dc-0b435d7d249f,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""0""",Yes
2,1607896000029:d2a72227-2a1d-45e5-87f3-575d7d04ff30,1607896000029:5d190e40-fe07-4990-b4dc-0b435d7d249f,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""1""",Yes
4,1607896000029:ca29d460-32cb-430c-b66b-11115ab9d363,1607896000029:56a49160-de1f-4df5-a582-b809cb44b649,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""0""",Yes
5,1607896000029:ca29d460-32cb-430c-b66b-11115ab9d363,1607896000029:56a49160-de1f-4df5-a582-b809cb44b649,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""1""",Yes
7,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""0""",Yes
8,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""1""",Yes
9,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""2""",Yes
10,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""3""",Yes
11,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666,"size == ""5""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""4""",Yes
13,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:7c21fab0-1c9d-4ced-b3c2-0aec720177bf,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""0""",Yes
14,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:7c21fab0-1c9d-4ced-b3c2-0aec720177bf,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""1""",Yes
16,1607896000029:42997cdc-5547-4339-9b3d-718ebba5f5fe,1607896000029:a30bd88d-0335-42f9-814c-734819526a66,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""0""",Yes
17,1607896000029:42997cdc-5547-4339-9b3d-718ebba5f5fe,1607896000029:a30bd88d-0335-42f9-814c-734819526a66,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""1""",Yes
19,1607896000028:fcb92608-e7a9-4b87-80e9-33b9fddbad89,1607896000028:f4c22bfa-031d-4a53-933d-5388e0dbc55e,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""0""",Yes
20,1607896000028:fcb92608-e7a9-4b87-80e9-33b9fddbad89,1607896000028:f4c22bfa-031d-4a53-933d-5388e0dbc55e,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","calledMethod == ""pop""","size_p == ""1""",Yes
22,1607896000028:fcb92608-e7a9-4b87-80e9-33b9fddbad89,1607896000028:8fea4a27-0f21-4f19-8c14-9478d4decc42,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""0""",Yes
23,1607896000028:fcb92608-e7a9-4b87-80e9-33b9fddbad89,1607896000028:8fea4a27-0f21-4f19-8c14-9478d4decc42,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""1""",Yes
24,1607896000028:fcb92608-e7a9-4b87-80e9-33b9fddbad89,1607896000028:8fea4a27-0f21-4f19-8c14-9478d4decc42,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""2""",Yes
25,1607896000028:fcb92608-e7a9-4b87-80e9-33b9fddbad89,1607896000028:8fea4a27-0f21-4f19-8c14-9478d4decc42,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""3""",Yes
26,1607896000028:fcb92608-e7a9-4b87-80e9-33b9fddbad89,1607896000028:8fea4a27-0f21-4f19-8c14-9478d4decc42,"size == ""5""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""4""",Yes
28,1607896000028:d94f6cdb-1bf5-4c77-8764-123c7ffb9455,1607896000028:e23a5dc3-0a89-4777-b033-e290d30b1794,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""0""",Yes
29,1607896000028:d94f6cdb-1bf5-4c77-8764-123c7ffb9455,1607896000028:e23a5dc3-0a89-4777-b033-e290d30b1794,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""1""",Yes
30,1607896000028:d94f6cdb-1bf5-4c77-8764-123c7ffb9455,1607896000028:e23a5dc3-0a89-4777-b033-e290d30b1794,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""2""",Yes
31,1607896000028:d94f6cdb-1bf5-4c77-8764-123c7ffb9455,1607896000028:e23a5dc3-0a89-4777-b033-e290d30b1794,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""3""",Yes
32,1607896000028:d94f6cdb-1bf5-4c77-8764-123c7ffb9455,1607896000028:e23a5dc3-0a89-4777-b033-e290d30b1794,"size == ""5""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","calledMethod == ""clear""","size_p == ""4""",Yes
34,1607896000028:d94f6cdb-1bf5-4c77-8764-123c7ffb9455,1607896000028:2961da9e-6b19-45f5-af91-26a90665e389,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","calledMethod == ""push""","size_p == ""0""",Yes
