,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,diff
3,1607938286524:c3f02a0e-04b3-4dd6-943b-f7374aa062cc,1607938286524:66648f82-5cb0-4f59-be2f-080354a82710,0,True,EmptyObject,none,none,clear,No
8,1607938286524:5742e7f8-c3db-4b3e-9698-db7ddd8c1963,1607938286524:530de9d6-1b90-4c2d-bcd1-0449fd406983,0,True,EmptyObject,none,none,clear,No
13,1607938286523:c55dba65-c213-414f-9cd8-40b825e365b5,1607938286523:a95147ab-2c1d-4fb9-9839-9579b8e0236d,0,True,EmptyObject,none,none,clear,No
16,1607938286523:78e38905-9471-43b9-975b-17152787a51f,1607938286523:eb31bfdb-f9ac-4df5-bb69-efac564c18c7,0,True,EmptyObject,none,none,clear,No
18,1607938286523:44acc724-2222-41eb-b405-353658b6e7f7,1607938286523:bba2d065-867a-4c8d-8ea0-21c3cd0963a5,0,True,EmptyObject,none,none,clear,No
32,1607938286520:b4b0341f-6d96-4aba-8212-911e972325cd,1607938286520:c01c21e4-3a8b-4e31-afa2-7dbc76b47b9f,0,True,EmptyObject,none,none,clear,No
35,1607938286520:7a13cbc7-0d40-48e8-b65b-fd80b70c1555,1607938286520:df81bc14-8a2a-4b8d-86b3-b53a4fb864f8,0,True,EmptyObject,none,none,clear,No
38,1607938286520:1730ed40-a873-4cb4-8f65-7153420ff90e,1607938286520:244997e4-4c82-4e95-b5cb-cf7f1d44f412,0,True,EmptyObject,none,none,clear,No
43,1607938286519:5775b994-4046-4492-be1c-e9633a963748,1607938286519:adc8cef6-c31b-4fee-80fe-b7044dc15b12,0,True,EmptyObject,none,none,clear,No
47,1607938286519:3019854b-d40f-4926-9a85-9eb17cc2d4cc,1607938286519:ac312396-20e4-41d1-829f-d425d4f582c7,0,True,EmptyObject,none,none,clear,No
57,1607938286518:4e5a97c7-9f40-4b2a-81f6-ae9c9c3fdb6f,1607938286518:2eb901e1-f976-4b5f-b07c-92ad921ecab9,0,True,EmptyObject,none,none,clear,No
68,1607938286517:6bf20387-d46d-4e1f-950a-f8b018647bc3,1607938286517:17145ea4-b2ca-477e-9b70-43f770d58825,0,True,EmptyObject,none,none,clear,No
70,1607938286517:43ddcfc2-9c85-4ef9-8150-06c31a90bae2,1607938286517:5123a76d-f51e-4b46-95c8-3265a78ba282,0,True,EmptyObject,none,none,clear,No
74,1607938286517:1339c3cf-3adf-425e-b8e6-702a3a0811c8,1607938286517:ad32b4fc-d713-4582-9c8c-83fdfdf34e46,0,True,EmptyObject,none,none,clear,No
79,1607938286516:f327fb13-d8d5-49c5-8c9f-caafe3edcf86,1607938286516:d78ecc43-f92b-494c-96ee-5040a3e78334,0,True,EmptyObject,none,none,clear,No
82,1607938286516:e554b2ac-5627-448a-8b83-e0913f0f6e35,1607938286516:7c3758df-cbeb-47b1-ae0b-d1938a80a42b,0,True,EmptyObject,none,none,clear,No
93,1607938286515:cce66360-8640-41e0-8af0-9a9731e493e8,1607938286515:fd20e3c2-5649-4537-bb3a-f1987868d369,0,True,EmptyObject,none,none,clear,No
112,1607938286514:41a70915-300b-4f0e-9cdd-9319e3d0c14a,1607938286514:53fa6821-b24f-4fb1-a788-d4798008f9b5,0,True,EmptyObject,none,none,clear,No
115,1607938286514:2367f2c5-70ee-400c-aacb-951d20cbf179,1607938286514:7d56aa6f-f175-460a-9dfc-2204813c3d6e,0,True,EmptyObject,none,none,clear,No
120,1607938286513:9e3ba6fe-c660-4ce0-941a-3a9e2cfbe4d6,1607938286513:d0792e9b-24a5-44bf-a70a-f600ae938fd6,0,True,EmptyObject,none,none,clear,No
122,1607938286513:892597ee-5643-4bb5-9d43-f93b67cd1287,1607938286513:d21220d6-b0e8-4961-80db-84bd816f5dbb,0,True,EmptyObject,none,none,clear,No
125,1607938286513:799a2504-4032-4efa-bb65-0158b77a66ea,1607938286513:6970ab17-ffdb-4656-8182-d433dbf083f5,0,True,EmptyObject,none,none,clear,No
128,1607938286513:6690ae33-2378-4ccc-ae59-dd74e9ae7c83,1607938286513:949ad078-74c9-432b-ab19-5700fa80568f,0,True,EmptyObject,none,none,clear,No
130,1607938286513:20149895-8b19-4263-b69c-2f247c4ce36a,1607938286513:c19b7855-0ddd-4f37-a97d-126bd2084dfb,0,True,EmptyObject,none,none,clear,No
132,1607938286513:034fcf86-4b1d-40fd-92e5-d604d84435b4,1607938286513:e576dacd-ad4c-49fd-ae8d-24c2430fc326,0,True,EmptyObject,none,none,clear,No
135,1607938286512:da19e4cf-5e83-4f37-ae11-5674ad4beda4,1607938286512:68a86da0-e7ef-4fcf-97a7-fe09290cc1b2,0,True,EmptyObject,none,none,clear,No
139,1607938286512:ad2ff281-e3f6-498c-87cb-325eb120bdf9,1607938286512:8ff851f3-34f9-4125-92d3-b32f064898ad,0,True,EmptyObject,none,none,clear,No
146,1607938286512:2f16e7aa-6c2a-496c-bac6-e269abbd4223,1607938286512:425a55a8-ccef-4501-94ba-7fc90acab6e0,0,True,EmptyObject,none,none,clear,No
149,1607938286511:b20dc65c-22c4-4199-b5df-e34be37b2bc4,1607938286511:df286776-4eb5-4ce6-b346-4c36d05bc43b,0,True,EmptyObject,none,none,clear,No
152,1607938286511:81f702c8-99d6-44be-bb5d-eef44b6c8af8,1607938286511:4c92da4d-6697-437e-998c-fd377163565b,0,True,EmptyObject,none,none,clear,No
160,1607938286510:de217abf-b1fc-49c1-92de-3ce1ef2ae4fa,1607938286510:ab847491-0862-4043-afbf-7ed44f96e375,0,True,EmptyObject,none,none,clear,No
163,1607938286510:8e5bf1cb-66bd-4072-8612-59ad51953dd5,1607938286510:7f7f0712-0de8-4c65-9807-b4096d922070,0,True,EmptyObject,none,none,clear,No
165,1607938286510:6aac6ecd-c81e-4253-8c39-cc6eb24b3a5e,1607938286510:5d84e7df-a17f-41c9-9456-d833c10d9ddb,0,True,EmptyObject,none,none,clear,No
167,1607938286510:61002c2e-bc1f-4f4c-9a1d-e0d5963915f4,1607938286510:8a7bc79f-e6e6-4053-937c-7c275ba8c846,0,True,EmptyObject,none,none,clear,No
178,1607938286509:6d4b29b1-1a9e-4e0e-840d-e24faf50ed0b,1607938286509:620a1900-f0b4-4386-aa8e-3ddd70b77a47,0,True,EmptyObject,none,none,clear,No
181,1607938286508:99d4f33e-b411-428f-8b9c-5fe91012b89d,1607938286508:b01d419a-e145-4d47-8942-c9b695762fc5,0,True,EmptyObject,none,none,clear,No
186,1607938286508:1a39d859-39de-4a56-961e-3a3309f459ad,1607938286508:4ce7b9ca-a20d-42a7-9fdf-b7c7cf1657c6,0,True,EmptyObject,none,none,clear,No
