,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,diff
183,1607938096718:5c570442-3c2b-4a68-8907-001bf1578127,1607938096718:ea8e05b0-417d-4bcf-a3ff-6b4a819adddb,0,True,EmptyObject,none,none,clear,No
185,1607938096718:57123d58-9d8e-474a-ae94-f0b2fc06972a,1607938096718:ebc2f633-d6f3-4aff-ab34-5554f76cb982,0,True,EmptyObject,none,none,clear,No
187,1607938096718:4ea6f777-22fb-459d-b108-7ab7b107c562,1607938096718:b6f8b3b5-2e99-475c-8061-2f9fd41c37b5,0,True,EmptyObject,none,none,clear,No
194,1607938096717:9bc08bb0-394f-4c5f-a25b-258998cc1301,1607938096717:9b04bc67-2329-4300-acbe-ee8d406d5b2f,0,True,EmptyObject,none,none,clear,No
200,1607938096717:4d95c70a-7bf4-4eaf-9c2f-33c5e7878550,1607938096717:2542ba68-5b38-45a2-8ca6-01aad9ff5b27,0,True,EmptyObject,none,none,clear,No
202,1607938096717:1f13f478-bc77-4e3c-a026-bc8e92938508,1607938096717:58d0b62f-fe47-44b7-b33a-78b933c10171,0,True,EmptyObject,none,none,clear,No
205,1607938096717:0277f0d3-1264-433f-8a6d-5eeb29420397,1607938096717:b4cb534d-830d-4cc9-aeae-ac7de46d95fa,0,True,EmptyObject,none,none,clear,No
207,1607938096716:f132b39e-ff85-45ee-b9e4-0d81da1110cb,1607938096717:d00e9c91-0f3c-47cc-aa1c-16121413c994,0,True,EmptyObject,none,none,clear,No
216,1607938096716:56d1dd12-409a-4bd5-94c0-95fd557aecb3,1607938096716:80f52b0f-e0ff-477e-88db-41de92dcf8d0,0,True,EmptyObject,none,none,clear,No
219,1607938096716:3e55396a-c9df-407a-b2c7-34a4df827d56,1607938096716:f54eaa12-f5a8-476b-a784-f6057704f622,0,True,EmptyObject,none,none,clear,No
223,1607938096715:e7742ad8-2fc8-42a7-84b1-8e3889969d04,1607938096715:6ea9851a-c2d8-4f87-9c1e-0ea444279d7e,0,True,EmptyObject,none,none,clear,No
229,1607938096715:76e33ab4-3729-493b-8903-9518ef323637,1607938096715:5daf15df-6a99-4b08-b9e5-125931fd660c,0,True,EmptyObject,none,none,clear,No
234,1607938096715:30bdfc22-d742-4de4-ac06-449928b7e121,1607938096715:825a7941-2022-49ca-80a9-5230ce9a4ac1,0,True,EmptyObject,none,none,clear,No
237,1607938096714:c293a2ab-eb48-4c0c-9c2e-86a6bc97c586,1607938096714:b82e29e6-1248-4d94-b2e8-59ff63b0891b,0,True,EmptyObject,none,none,clear,No
240,1607938096714:8858611a-f62b-45ed-9c79-547e964f5dde,1607938096714:d8705fde-464d-4ef8-b9f0-388fc679d459,0,True,EmptyObject,none,none,clear,No
242,1607938096714:7a5bb914-32aa-44ae-9ae0-c3a40d5c859a,1607938096714:d6e3ee29-f6cd-49b3-8b3f-ac55ccd8a13e,0,True,EmptyObject,none,none,clear,No
244,1607938096714:7a5bb914-32aa-44ae-9ae0-c3a40d5c859a,1607938096714:8ebf79f1-f2e4-4ea1-947d-0cdda223c1c6,0,True,EmptyObject,none,none,clear,No
245,1607938096714:7a5bb914-32aa-44ae-9ae0-c3a40d5c859a,1607938096714:8ebf79f1-f2e4-4ea1-947d-0cdda223c1c6,0,True,EmptyObject,none,none,clear,No
246,1607938096714:7a5bb914-32aa-44ae-9ae0-c3a40d5c859a,1607938096714:8ebf79f1-f2e4-4ea1-947d-0cdda223c1c6,0,True,EmptyObject,none,none,clear,No
252,1607938096714:39798a8d-0610-427f-b678-bfd2ace7d64e,1607938096714:8ae7fa87-edfe-4a97-95e0-d121debbb566,0,True,EmptyObject,none,none,clear,No
257,1607938096713:79b5e884-7c77-43f6-91ec-ffebda95bdb7,1607938096713:65822881-2935-4289-b388-d08068634cb9,0,True,EmptyObject,none,none,clear,No
259,1607938096713:78b79cf6-ed93-42cb-b5ce-e59d03a184cd,1607938096713:65ca16b6-3530-4ca3-84a5-8e17433dd8fd,0,True,EmptyObject,none,none,clear,No
